index	tourEndTo	tourIndex	tourStartTo	tourEndFrom	tourEndRange	tourStartFrom	tourStartRange	text	place	travelIndex	travelEndDay	travelEndYear	travelStartDay	travelEndMonth	travelStartYear	travelStartMonth	lng	lat	forced	lte	gte	parent
17	1766	1	1747	1766	FALSE	1747	FALSE	Leghorn	Leghorn	2	0	0	0	0	0	0	10.416111	43.520833	FALSE	1766-0-0	1747-0-0	
17	1766	1	1747	1766	FALSE	1747	FALSE	Pisa (d. 9 Nov. 1766)	Pisa	3	0	0	0	0	0	0	10.4016888	43.7228386	FALSE	1766-0-0	1747-0-0	
18	1811	1	1755	1811	FALSE	1755	FALSE	Florence	Florence	1	0	0	0	0	0	0	11.2480006	43.7710332	FALSE	1755-0-0	1755-0-0	
18	1811	1	1755	1811	FALSE	1755	FALSE	Pisa	Pisa	2	0	0	0	0	0	0	10.4016888	43.7228386	FALSE	1755-0-0	1755-0-0	
18	1811	1	1755	1811	FALSE	1755	FALSE	Leghorn (1755- 78)	Leghorn	3	0	1778	0	0	1755	0	10.416111	43.520833	FALSE			
18	1811	1	1755	1811	FALSE	1755	FALSE	Naples	Naples	4	0	0	0	0	0	0	14.2681244	40.8517746	FALSE	1778-0-0	1778-0-0	
18	1811	1	1755	1811	FALSE	1755	FALSE	Palermo (1778-1811)	Palermo	5	0	1811	0	0	1778	0	13.3612671	38.1156879	FALSE			
19	1772	1	1771	1772	FALSE	1771	FALSE	Leghorn (8 Dec. 1771)	Leghorn	1	8	1771	8	12	1771	12	10.416111	43.520833	FALSE			
19	1772	1	1771	1772	FALSE	1771	FALSE	Pisa (11-22 Dec.)	Pisa	2	22	1771	11	12	1771	12	10.4016888	43.7228386	FALSE			
19	1772	1	1771	1772	FALSE	1771	FALSE	Leghorn (23 Dec.)	Leghorn	3	23	1771	23	12	1771	12	10.416111	43.520833	FALSE			
19	1772	1	1771	1772	FALSE	1771	FALSE	Naples (29 Dec. 1771- 23 Feb. 1772)	Naples	4	23	1772	29	2	1771	12	14.2681244	40.8517746	FALSE			
19	1777	2	1777	1777	FALSE	1777	FALSE	Trent (15 Jul.)	Trent	1	15	1777	15	7	1777	7	11.1197626	46.0700915	FALSE			
19	1777	2	1777	1777	FALSE	1777	FALSE	Venice (17 Sep.)	Venice	2	17	1777	17	9	1777	9	12.3155151	45.4408474	FALSE			
20	1796	1	1796	1796	FALSE	1796	FALSE	Venice (17-30 Apr.)	Venice	1	30	1796	17	4	1796	4	12.3155151	45.4408474	FALSE			
20	1796	1	1796	1796	FALSE	1796	FALSE	Padua (13-15 May)	Padua	2	15	1796	13	5	1796	5	11.8767611	45.4064349	FALSE			
20	1796	1	1796	1796	FALSE	1796	FALSE	Vicenza (15-17 May)	Vicenza	3	17	1796	15	5	1796	5	11.5354214	45.5454787	FALSE			
20	1796	1	1796	1796	FALSE	1796	FALSE	Bassano (4 Jun.)	Bassano	4	4	1796	4	6	1796	6	11.7272747	45.7657286	FALSE			
21	1763	1	1760	1763	FALSE	1760	FALSE	Turin (13 Jun.)	Turin	2	13	1760	13	6	1760	6	7.6868565	45.070312	FALSE			
21	1763	1	1760	1763	FALSE	1760	FALSE	Venice (by 25 Jun.-20 Oct.)	Venice	3	20	1760	25	10	1760	6	12.3155151	45.4408474	FALSE			
21	1763	1	1760	1763	FALSE	1760	FALSE	Pola	Pola	1	0	0	0	0	0	0	12.0185741	44.878054		1760-11-22	1760-10-20	3
21	1763	1	1760	1763	FALSE	1760	FALSE	Padua	Padua	2	0	0	0	0	0	0	11.8767611	45.4064349		1760-11-22	1760-10-20	3
21	1763	1	1760	1763	FALSE	1760	FALSE	Vicenza	Vicenza	3	0	0	0	0	0	0	11.5354214	45.5454787		1760-11-22	1760-10-20	3
21	1763	1	1760	1763	FALSE	1760	FALSE	Verona	Verona	4	0	0	0	0	0	0	10.9916215	45.4383842		1760-11-22	1760-10-20	3
21	1763	1	1760	1763	FALSE	1760	FALSE	Ferrara	Ferrara	1	0	0	0	0	0	0	11.619787	44.8381237	FALSE	1760-11-22	1760-10-20	
21	1763	1	1760	1763	FALSE	1760	FALSE	Bologna (-22 Nov.)	Bologna	2	22	1760	22	11	1760	11	11.3426163	44.494887	FALSE			
21	1763	1	1760	1763	FALSE	1760	FALSE	Florence (23 Nov. 1760-20 Feb. 1761)	Florence	3	20	1761	23	2	1760	11	11.2480006	43.7710332	FALSE			
21	1763	1	1760	1763	FALSE	1760	FALSE	Pisa	Pisa	1	0	0	0	0	0	0	10.4016888	43.7228386		1761-12-0	1761-2-20	3
21	1763	1	1760	1763	FALSE	1760	FALSE	Leghorn (late Dec.-early Jan.)	Leghorn	2	0	1761	0	1	1761	12	10.416111	43.520833				3
21	1763	1	1760	1763	FALSE	1760	FALSE	Siena	Siena	1	0	0	0	0	0	0	11.3307574	43.318809	FALSE	1761-2-24	1761-1-0	
21	1763	1	1760	1763	FALSE	1760	FALSE	Rome (24 Feb.-Aug.)	Rome	2	0	1761	24	8	1761	2	12.4801802	41.8723889	FALSE			
21	1763	1	1760	1763	FALSE	1760	FALSE	Naples (Aug.-Dec.)	Naples	3	0	1761	0	12	1761	8	14.2681244	40.8517746	FALSE			
21	1763	1	1760	1763	FALSE	1760	FALSE	Paestum (mid-Nov.)	Paestum	1	0	1761	0	11	1761	11	15.0071628	40.4231513				3
21	1763	1	1760	1763	FALSE	1760	FALSE	Rome (13 Dec. 1761-May 1763)	Rome	1	0	1763	13	5	1761	12	12.4801802	41.8723889	FALSE			
21	1763	1	1760	1763	FALSE	1760	FALSE	Florence	Florence	2	0	0	0	0	0	0	11.2480006	43.7710332	FALSE	1763-0-0	1763-5-0	
21	1763	1	1760	1763	FALSE	1760	FALSE	Bologna	Bologna	3	0	0	0	0	0	0	11.3426163	44.494887	FALSE	1763-0-0	1763-5-0	
21	1763	1	1760	1763	FALSE	1760	FALSE	Parma	Parma	4	0	0	0	0	0	0	10.3279036	44.801485	FALSE	1763-0-0	1763-5-0	
22	1767	1	1767	1767	FALSE	1767	FALSE	Venice (10 Sep.: 'Giovanni Adam di Andrea'; ASV IS 759)	Venice	1	10	1767	10	9	1767	9	12.3155151	45.4408474	FALSE			
23	1757	1	1755	1757	FALSE	1755	FALSE	Genoa (9 Jan. 1755)	Genoa	2	9	1755	9	1	1755	1	8.946256	44.4056499	FALSE			
23	1757	1	1755	1757	FALSE	1755	FALSE	Leghorn	Leghorn	3	0	0	0	0	0	0	10.416111	43.520833	FALSE	1755-1-30	1755-1-9	
23	1757	1	1755	1757	FALSE	1755	FALSE	Pisa	Pisa	4	0	0	0	0	0	0	10.4016888	43.7228386	FALSE	1755-1-30	1755-1-9	
23	1757	1	1755	1757	FALSE	1755	FALSE	Florence (30 Jan.-20 Feb.)	Florence	5	20	1755	30	2	1755	1	11.2480006	43.7710332	FALSE			
23	1757	1	1755	1757	FALSE	1755	FALSE	Siena	Siena	6	0	0	0	0	0	0	11.3307574	43.318809	FALSE	1755-2-24	1755-2-20	
23	1757	1	1755	1757	FALSE	1755	FALSE	Rome (24 Feb.-Apr.)	Rome	7	0	1755	24	4	1755	2	12.4801802	41.8723889	FALSE			
23	1757	1	1755	1757	FALSE	1755	FALSE	Naples (Apr. 1755)	Naples	8	0	1755	0	4	1755	4	14.2681244	40.8517746	FALSE			
23	1757	1	1755	1757	FALSE	1755	FALSE	Rome (22 Apr.-13 Sep.)	Rome	9	13	1755	22	9	1755	4	12.4801802	41.8723889	FALSE			
23	1757	1	1755	1757	FALSE	1755	FALSE	Caprarola	Caprarola	10	0	0	0	0	0	0	12.2387494	42.3272312	FALSE	1755-10-12	1755-9-13	
23	1757	1	1755	1757	FALSE	1755	FALSE	Narni	Narni	11	0	0	0	0	0	0	12.5156299	42.5176022	FALSE	1755-10-12	1755-9-13	
23	1757	1	1755	1757	FALSE	1755	FALSE	Terni	Terni	12	0	0	0	0	0	0	12.6426604	42.5636168	FALSE	1755-10-12	1755-9-13	
23	1757	1	1755	1757	FALSE	1755	FALSE	Spoleto	Spoleto	13	0	0	0	0	0	0	12.7344664	42.7305146	FALSE	1755-10-12	1755-9-13	
23	1757	1	1755	1757	FALSE	1755	FALSE	Rimini	Rimini	14	0	0	0	0	0	0	12.5695158	44.0678288	FALSE	1755-10-12	1755-9-13	
23	1757	1	1755	1757	FALSE	1755	FALSE	Ravenna	Ravenna	15	0	0	0	0	0	0	12.2035294	44.4183598	FALSE	1755-10-12	1755-9-13	
23	1757	1	1755	1757	FALSE	1755	FALSE	Rome (by 12 Oct. 1755-Jun. 1756)	Rome	16	0	1756	12	6	1755	10	12.4801802	41.8723889	FALSE			
23	1757	1	1755	1757	FALSE	1755	FALSE	Sora (Jun.)	Sora	17	0	1756	0	6	1756	6	13.6130491	41.7188539	FALSE			
23	1757	1	1755	1757	FALSE	1755	FALSE	Rome (Jun. 1756-May 1757)	Rome	18	0	1757	0	5	1756	6	12.4801802	41.8723889	FALSE			
23	1757	1	1755	1757	FALSE	1755	FALSE	Florence (May)	Florence	19	0	1757	0	5	1757	5	11.2480006	43.7710332	FALSE			
23	1757	1	1755	1757	FALSE	1755	FALSE	Bologna (8 days)	Bologna	20	0	0	0	0	0	0	11.3426163	44.494887	FALSE	1757-6-23	1757-5-0	
23	1757	1	1755	1757	FALSE	1755	FALSE	Padua (by 23 Jun.)	Padua	21	23	1757	23	6	1757	6	11.8767611	45.4064349	FALSE			
23	1757	1	1755	1757	FALSE	1755	FALSE	Venice (6-11 Jul.)	Venice	22	11	1757	6	7	1757	7	12.3155151	45.4408474	FALSE			
23	1757	1	1755	1757	FALSE	1755	FALSE	Venice (11 Sep.-12 Oct. 1757)	Venice	23	12	1757	11	10	1757	9	12.3155151	45.4408474	FALSE			
23	1757	1	1755	1757	FALSE	1755	FALSE	Vicenza	Vicenza	1	0	0	0	0	0	0	11.5354214	45.5454787		1757-0-0	1757-10-12	23
23	1757	1	1755	1757	FALSE	1755	FALSE	Verona	Verona	2	0	0	0	0	0	0	10.9916215	45.4383842		1757-0-0	1757-10-12	23
24	1796	1	1796	1796	FALSE	1796	FALSE	"Naples (Oct.: 'I wish you cd in turn congratulate me on the acquisition of Mr C Adams'; Attingham MSS, Ldy. Berwick, 25 Oct. 1796)"	Naples	1	0	1796	0	10	1796	10	14.2681244	40.8517746	FALSE			
25	1786	1	1767	1786	FALSE	1767	FALSE	Naples	Naples	1	0	0	0	0	0	0	14.2681244	40.8517746	FALSE	1786-0-0	1767-0-0	
26	1795	1	1794	1795	FALSE	1794	FALSE	Venice (5 Nov.-20 Dec. 1794)	Venice	2	20	1794	5	12	1794	11	12.3155151	45.4408474	FALSE			
26	1795	1	1794	1795	FALSE	1794	FALSE	Padua	Padua	3	0	0	0	0	0	0	11.8767611	45.4064349	FALSE	1795-0-0	1794-12-20	
26	1795	1	1794	1795	FALSE	1794	FALSE	Venice (3-5 Jun. 1795)	Venice	4	0	0	3	0	1795	6	12.3155151	45.4408474	FALSE	1795-0-0		
27	1716	1	1716	1716	FALSE	1716	FALSE	"Rome ('Adams Scozzese' with his wife,three sons, living in the Strada Paolina; AVR SA, S.Lorenzo in Lucina)"	Rome	1	0	0	0	0	0	0	12.4801802	41.8723889	FALSE	--	1716-0-0	
27	1756	2	1756	1756	FALSE	1756	FALSE															
27	1780	3	1780	1780	FALSE	1780	FALSE	Venice (1 Jul.; ASV IS 760)	Venice	1	1	1780	1	7	1780	7	12.3155151	45.4408474	FALSE			
29	1701	1	1700	1701	FALSE	1700	FALSE	Genoa (Dec. 1700)	Genoa	2	0	1700	0	12	1700	12	8.946256	44.4056499	FALSE			
29	1701	1	1700	1701	FALSE	1700	FALSE	Pavia	Pavia	3	0	0	0	0	0	0	9.1582069	45.1847248	FALSE	1701-1-9	1700-12-0	
29	1701	1	1700	1701	FALSE	1700	FALSE	Milan	Milan	4	0	0	0	0	0	0	9.1859243	45.4654219	FALSE	1701-1-9	1700-12-0	
29	1701	1	1700	1701	FALSE	1700	FALSE	Padua (9 Jan. 1701)	Padua	5	9	1701	9	1	1701	1	11.8767611	45.4064349	FALSE			
29	1701	1	1700	1701	FALSE	1700	FALSE	Venice (Jan.)	Venice	6	0	1701	0	1	1701	1	12.3155151	45.4408474	FALSE			
29	1701	1	1700	1701	FALSE	1700	FALSE	Ferrara	Ferrara	7	0	0	0	0	0	0	11.619787	44.8381237	FALSE	1701-6-0	1701-1-0	
29	1701	1	1700	1701	FALSE	1700	FALSE	Ravenna	Ravenna	8	0	0	0	0	0	0	12.2035294	44.4183598	FALSE	1701-6-0	1701-1-0	
29	1701	1	1700	1701	FALSE	1700	FALSE	Rimini	Rimini	9	0	0	0	0	0	0	12.5695158	44.0678288	FALSE	1701-6-0	1701-1-0	
29	1701	1	1700	1701	FALSE	1700	FALSE	San Marino	San Marino	10	0	0	0	0	0	0	10.9215205	44.8063123	FALSE	1701-6-0	1701-1-0	
29	1701	1	1700	1701	FALSE	1700	FALSE	Loreto	Loreto	11	0	0	0	0	0	0	13.6065668	43.4396423	FALSE	1701-6-0	1701-1-0	
29	1701	1	1700	1701	FALSE	1700	FALSE	Rome	Rome	12	0	0	0	0	0	0	12.4801802	41.8723889	FALSE	1701-6-0	1701-1-0	
29	1701	1	1700	1701	FALSE	1700	FALSE	Naples	Naples	13	0	0	0	0	0	0	14.2681244	40.8517746	FALSE	1701-6-0	1701-1-0	
29	1701	1	1700	1701	FALSE	1700	FALSE	Rome (Jun.- Oct.)	Rome	14	0	1701	0	10	1701	6	12.4801802	41.8723889	FALSE			
29	1701	1	1700	1701	FALSE	1700	FALSE	Siena	Siena	15	0	0	0	0	0	0	11.3307574	43.318809	FALSE	1701-11-6	1701-10-0	
29	1701	1	1700	1701	FALSE	1700	FALSE	Pisa	Pisa	16	0	0	0	0	0	0	10.4016888	43.7228386	FALSE	1701-11-6	1701-10-0	
29	1701	1	1700	1701	FALSE	1700	FALSE	Lucca	Lucca	17	0	0	0	0	0	0	10.4950609	43.8376211	FALSE	1701-11-6	1701-10-0	
29	1701	1	1700	1701	FALSE	1700	FALSE	Florence (6-12 Nov.)	Florence	18	12	1701	6	11	1701	11	11.2480006	43.7710332	FALSE			
29	1701	1	1700	1701	FALSE	1700	FALSE	Bologna	Bologna	19	0	0	0	0	0	0	11.3426163	44.494887	FALSE	1701-0-0	1701-11-12	
29	1701	1	1700	1701	FALSE	1700	FALSE	Modena	Modena	20	0	0	0	0	0	0	10.9200867	44.6488366	FALSE	1701-0-0	1701-11-12	
29	1701	1	1700	1701	FALSE	1700	FALSE	Parma	Parma	21	0	0	0	0	0	0	10.3279036	44.801485	FALSE	1701-0-0	1701-11-12	
29	1701	1	1700	1701	FALSE	1700	FALSE	Turin	Turin	22	0	0	0	0	0	0	7.6868565	45.070312	FALSE	1701-0-0	1701-11-12	
30	1773	1	1766	1773	FALSE	1766	FALSE	Leghorn	Leghorn	1	0	0	0	0	0	0	10.416111	43.520833	FALSE	1773-0-0	1766-0-0	
30	1773	1	1766	1773	FALSE	1766	FALSE	Pisa	Pisa	2	0	0	0	0	0	0	10.4016888	43.7228386	FALSE	1773-0-0	1766-0-0	
31	1776	1	1776	1776	FALSE	1776	FALSE	"Florence (14 Dec.: wrote to Ozias Humphry offering to take anything to England; Humphry corr.MSS, HU/2/48)"	Florence	1	14	1776	14	12	1776	12	11.2480006	43.7710332	FALSE			
32	1783	1	1783	1783	FALSE	1783	FALSE	Rome (by May)	Rome	1	0	1783	0	5	1783	5	12.4801802	41.8723889	FALSE			
32	1788	2	1787	1788	FALSE	1787	FALSE	Bologna (May 1788)	Bologna	1	0	1788	0	5	1788	5	11.3426163	44.494887	FALSE			
33	1770	1	1770	1770	FALSE	1770	FALSE	"Florence ('Signor Nardini has a great number of young professors under his care ... among whom is a son of Mr Agus, from England'; Burney, Tour, 259)"	Florence	1	0	0	0	0	0	0	11.2480006	43.7710332	FALSE	1770-0-0	1770-0-0	
34	1747	1	1746	1747	FALSE	1746	FALSE	Rome	Rome	1	0	0	0	0	0	0	12.4801802	41.8723889	FALSE	1747-0-0	1746-0-0	
35	1752	1	1709	1752	FALSE	1709	FALSE	Leghorn	Leghorn	1	0	0	0	0	0	0	10.416111	43.520833	FALSE	1752-0-0	1709-0-0	
36	1711	1	1707	1711	FALSE	1707	FALSE	Florence	Florence	2	0	0	0	0	0	0	11.2480006	43.7710332	FALSE	1707-4-12	1707-0-0	
36	1711	1	1707	1711	FALSE	1707	FALSE	Rome	Rome	3	0	0	0	0	0	0	12.4801802	41.8723889	FALSE	1707-4-12	1707-0-0	
36	1711	1	1707	1711	FALSE	1707	FALSE	Florence (by 12 Apr.)	Florence	5	12	1707	12	4	1707	4	11.2480006	43.7710332	FALSE			
36	1711	1	1707	1711	FALSE	1707	FALSE	Rome (summer)	Rome	6	0	0	0	0	0	0	12.4801802	41.8723889	FALSE	1710-9-0	1707-4-12	
36	1711	1	1707	1711	FALSE	1707	FALSE	Naples (Sep. 1710)	Naples	7	0	1710	0	9	1710	9	14.2681244	40.8517746	FALSE			
37	1770	1	1744	1770	FALSE	1744	FALSE	Leghorn	Leghorn	1	0	0	0	0	0	0	10.416111	43.520833	FALSE	1770-0-0	1744-0-0	
42	1750	1	1750	1750	FALSE	1750	FALSE	Rome (Nov. 1750)	Rome	1	0	1750	0	11	1750	11	12.4801802	41.8723889	FALSE			
43	1741	1	1740	1741	FALSE	1740	FALSE	Rome	Rome	1	0	0	0	0	0	0	12.4801802	41.8723889	FALSE	1744-10-0	1740-0-0	
43	1745	2	1744	1745	FALSE	1744	FALSE	Milan (Oct. 1744)	Milan	1	0	1744	0	10	1744	10	9.1859243	45.4654219	FALSE			
43	1745	2	1744	1745	FALSE	1744	FALSE	Florence	Florence	2	0	0	0	0	0	0	11.2480006	43.7710332	FALSE	1745-0-0	1744-10-0	
44	1736	1	1736	1736	FALSE	1736	FALSE	"Leghorn (d. 12 Dec.; Leghorn Inscr., 27)"	Leghorn	1	0	0	0	0	0	0	10.416111	43.520833	FALSE	1736-0-0	1736-0-0	
45	1752	1	1747	1752	FALSE	1747	FALSE	Rome (by Easter 1747-Jun. 1751)	Rome	2	0	0	0	0	0	0	12.4801802	41.8723889	FALSE	1751-0-0	1747-0-0	
45	1752	1	1747	1752	FALSE	1747	FALSE	Leghorn (1751)	Leghorn	3	0	1751	0	0	1751	0	10.416111	43.520833	FALSE			
45	1752	1	1747	1752	FALSE	1747	FALSE	Bologna	Bologna	4	0	0	0	0	0	0	11.3426163	44.494887	FALSE	1752-2-15	1751-0-0	
45	1752	1	1747	1752	FALSE	1747	FALSE	Venice (by 15 Feb. 1752)	Venice	5	15	1752	15	2	1752	2	12.3155151	45.4408474	FALSE			
46	1727	1	1727	1727	FALSE	1727	FALSE	Padua (20 Mar.; Brown 1834)	Padua	1	20	1727	20	3	1727	3	11.8767611	45.4064349	FALSE			
47	1777	1	1777	1777	FALSE	1777	FALSE	Naples (Jan. 1777)	Naples	1	0	1777	0	1	1777	1	14.2681244	40.8517746	FALSE			
47	1777	1	1777	1777	FALSE	1777	FALSE	Rome	Rome	2	0	0	0	0	0	0	12.4801802	41.8723889	FALSE	1777-5-5	1777-1-0	
47	1777	1	1777	1777	FALSE	1777	FALSE	Venice (5 May-)	Venice	3	5	1777	5	5	1777	5	12.3155151	45.4408474	FALSE			
48	1719	1	1711	1719	FALSE	1711	FALSE	Leghorn (1711)	Leghorn	1	0	1711	0	0	1711	0	10.416111	43.520833	FALSE			
48	1719	1	1711	1719	FALSE	1711	FALSE	Florence (1712)	Florence	2	0	1712	0	0	1712	0	11.2480006	43.7710332	FALSE			
48	1719	1	1711	1719	FALSE	1711	FALSE	Rome (by Feb. 1714-1719)	Rome	3	0	1719	0	0	1714	2	12.4801802	41.8723889	FALSE			
49	1767	1	1766	1767	FALSE	1766	FALSE	"Rome ('Alesandro pittore Inglese-18','Alesandro studente Inglese-19', with the artist William Hamilton at the Piazza Mignanelli; AVR SA, S.Andrea delle Fratte)"	Rome	1	0	0	0	0	0	0	12.4801802	41.8723889	FALSE	1767-0-0	1766-0-0	
50	1710	1	1710	1710	FALSE	1710	FALSE	"Leghorn (Oct.: he brought a letter from Basil Kennett in Leghorn to London; Lansd.1041, f.31)"	Leghorn	1	0	1710	0	10	1710	10	10.416111	43.520833	FALSE			
50	1742	2	1742	1742	FALSE	1742	FALSE	"Florence (on 29 Aug.: from Vienna, Sir Thomas Robinson asked Horace Mann in Florence to intervene with Count Richecourt on behalf of Alexander; SP 105/282, f.278)"	Florence	1	0	0	0	0	0	0	11.2480006	43.7710332	FALSE	1777-5-10	1710-10-0	
50	1777	3	1777	1777	FALSE	1777	FALSE	"Venice (10 May: with 'Lince' ,,'Blece',; ASV IS 760)"	Venice	1	10	1777	10	5	1777	5	12.3155151	45.4408474	FALSE			
50	1786	4	1785	1786	FALSE	1785	FALSE	Rome (winter; Quin jnl.MSS)	Rome	1	0	0	0	0	0	0	12.4801802	41.8723889	FALSE	1792-2-14	1777-5-10	
50	1792	5	1792	1792	FALSE	1792	FALSE	"Venice (14-27 Feb.: with Gray, Plumer,,'Barch',; ASV IS 763)"	Venice	1	27	1792	14	2	1792	2	12.3155151	45.4408474	FALSE			
52	1777	1	1767	1777	FALSE	1767	FALSE	Genoa (Jul.)	Genoa	2	0	1767	0	7	1767	7	8.946256	44.4056499	FALSE			
52	1777	1	1767	1777	FALSE	1767	FALSE	Leghorn (23-24 Aug.)	Leghorn	3	24	1767	23	8	1767	8	10.416111	43.520833	FALSE			
52	1777	1	1767	1777	FALSE	1767	FALSE	Rome (Aug. 1767-76)	Rome	4	0	1767	0	0	1767	8	12.4801802	41.8723889	FALSE			
52	1777	1	1767	1777	FALSE	1767	FALSE	"Naples (before Mar. 1768; 1769-71,1773-5)"	Naples	1	0	0	0	0	0	0	14.2681244	40.8517746		1776-11-0	1767-0-0	4
52	1777	1	1767	1777	FALSE	1767	FALSE	Pistoia	Pistoia	1	0	0	0	0	0	0	10.9078587	43.9303475	FALSE	1776-11-0	1767-0-0	
52	1777	1	1767	1777	FALSE	1767	FALSE	Bologna	Bologna	2	0	0	0	0	0	0	11.3426163	44.494887	FALSE	1776-11-0	1767-0-0	
52	1777	1	1767	1777	FALSE	1767	FALSE	Parma (Nov. 1776)	Parma	3	0	1776	0	11	1776	11	10.3279036	44.801485	FALSE			
52	1777	1	1767	1777	FALSE	1767	FALSE	Cremona	Cremona	4	0	0	0	0	0	0	10.0226511	45.133249	FALSE	1777-0-0	1776-11-0	
