index	biography	name	fullName
30	ADEY, WILLIAM, merchant banker.	ADEY, WILLIAM, merchant banker.	William Adey
31	AFFLECK, J.	AFFLECK, J.	J. Affleck
32	AGAR, HENRY WELBORE (1761-1836), e. s. of James Agar of Gowran Castle, co.Kilkenny, who was cr. B. Clifden [I] 1776, and Vct. Clifden [I] 1781; educ. Westminster and Ch.Ch. Oxf. 1778; suc. fa. 1789 as 2nd Vct.; m. 1792 Ldy. Caroline Spencer, dau. of 4th D. of Marlborough; MP 1783-9 [I], 1793-1802; suc. gt. uncle Welbore Ellis 1802 as 2nd B. Mendip; FSA 1803; took surname Ellis 1804 [sometimes wrongly called Agar-Ellis, and has been confused with his uncle, Welbore Ellis Agar].	AGAR, HENRY WELBORE	Henry Welbore Agar
33	AGUS, musician.	AGUS, musician.	Agus
34	AIKMAN, JOHN (1691-1770) of the Ross, Hamilton, e. s. of Thomas Aikman of Broomhilton.	AIKMAN, JOHN	John Aikman
35	AIKMAN, JOHN (1679-1752), merchant, 3rd s. of John Aikman, advocate of Cairnie, Angus.	AIKMAN, JOHN	John Aikman
36	AIKMAN, WILLIAM (1682-1731), painter, s. of William Aikman, advocate of Cairnie, Angus; to London 1704; m. 1707? Marion Lawson; Edinburgh 1711, London 1720-1, Edinburgh 1722, London 1723-31.	AIKMAN, WILLIAM	William Aikman
37	AIKMAN, WILLIAM (1695-1784), merchant, 2nd s. of Thomas Aikman of Broomhilton; founder of the Ross Almshouses, Hamilton, Lan.	AIKMAN, WILLIAM	William Aikman
38	AILESBURY, 1ST EARL OF, see Thomas, Baron Bruce	AILESBURY, 1ST EARL OF	1st Earl Of Ailesbury
39	AILESBURY, 1ST MARQUESS OF, see Charles, Lord Bruce	AILESBURY, 1ST MARQUESS OF	1st Marquess Of Ailesbury
40	ALBANY, LOUISE MAXIMILIANE STOLBERG-GEDERN, COUNTESS OF (1752-1824), see Charles (the Young Pretender)	ALBANY, LOUISE MAXIMILIANE STOLBERG-GEDERN, COUNTESS OF	Louise Maximiliane Stolberg-Gedern, Countess Of Albany
41	ALBANY, CHARLOTTE, DUCHESS OF, see Charlotte Stuart	ALBANY, CHARLOTTE, DUCHESS OF	Charlotte, Duchess Of Albany
42	ALDRICH	ALDRICH	Aldrich
43	ALDWORTH, RICHARD NEVILLE (1717- 93), statesman, o. s. of Richard Aldworth (d. 1738) of Stanlake, Berks; educ. Eton and Merton Oxf. 1736; Dilettanti 1746; MP 1747-74; m. 1748 Magdalen Calandrini of Geneva; changed name to Neville on suc. to Billingbear estates 1762; sec. and min.plen. Paris 1762-3, 1763; in Geneva 1771-4.	ALDWORTH, RICHARD NEVILLE	Richard Neville Aldworth
44	ALEXANDER, CATHERINE (1694-1736)	ALEXANDER, CATHERINE	Catherine Alexander
45	ALEXANDER, COSMO (1724-72), painter, s. and pupil? of John Alexander; emigrated to America 1766; Edinburgh c.1771.	ALEXANDER, COSMO	Cosmo Alexander
46	ALEXANDER, GEORGE	ALEXANDER, GEORGE	George Alexander
47	ALEXANDER, JAMES (1730-1802), 2nd s. of Nathaniel Alexander of Gunsland, Don.; EICo.; returned to Ireland 1772 and purchased vast estates, incl. Caledon Castle, Tyr.; MP [I] 1775-90; m. 1774 Anne Craufurd (d. Dec. 1777); cr. B. Caledon [I] 1790, Vct. Caledon [I] 1797, and E. Caledon [I] 1800.	ALEXANDER, JAMES	James Alexander
48	ALEXANDER, JOHN (1686-c.1766), painter and engraver; m. 1723 Isobel Innes; Edinburgh 1725; his dau. Isabella m. the painter George Chalmers.	ALEXANDER, JOHN	John Alexander
49	ALEXANDER (b. c.1748), painter.	ALEXANDER	Alexander
50	ALEXANDER	ALEXANDER	Alexander
51	ALFORD, LORD, see John Graeme	ALFORD, LORD	Lord Alford
52	ALLAN, DAVID (1744-96), painter, s. of David Allan, shoremaster of Alloa; Foulis Academy, Glasgow, 1755-64; Master, Trustees Academy, Edinburgh 1786.	ALLAN, DAVID	David Allan
53	ALLARD, SIMON	ALLARD, SIMON	Simon Allard
54	ALLEN, EDMUND, diplomat; sec. Turin 1729, 1734.	ALLEN, EDMUND, diplomat	Edmund Allen
55	ALLEN, EDWARD, banker; cons. Naples 1726-48; m. 1737 Catherine Shadwell.	ALLEN, EDWARD, banker	Edward Allen
56	ALLEN, GEORGE	ALLEN, GEORGE	George Allen
57	ALLEN, JEROME	ALLEN, JEROME	Jerome Allen
58	ALLEN, JOHN (1739-78), e. s. of William Allen, Chief Justice of Pennsylvania; m. 1775 Mary Johnston.	ALLEN, JOHN	John Allen
59	ALLEN, WILLIAM	ALLEN, WILLIAM	William Allen
60	ALLEN, WILLIAM (fl. 1748-64), merchant; cons. Naples 1748-53 and Messina 1764.	ALLEN, WILLIAM	William Allen
61	ALLEN, MRS	ALLEN, MRS	Mrs Allen
62	ALLEN	ALLEN	Allen
63	ALLGOOD, LANCELOT (1711-82), s. of Isaac Allgood of Nunwick, Northumb.; BNC Oxf. 1730; G.Inn 1731; m. 1739 Jane Allgood; MP 1749-54; Kt. 1760.	ALLGOOD, LANCELOT	Lancelot Allgood
64	ALLOTT, BRIAN (c.1695-1773), s. of Bartin Allott of Bilham Grange, West Clayton, Yorks; Univ.Coll. Oxf. 1712; vic. of Stinton, Notts. 1734; rect. of Londesborough, Yorks, 1736, and Kirkheaton, Yorks, 1757.	ALLOTT, BRIAN	Brian Allott
65	ALONZE, JOHN BAPTIST, American merchant.	ALONZE, JOHN BAPTIST, American merchant.	John Baptist Alonze
66	ALSTON, JOSEPH (1706-33), s. of Joseph Alston of Edwardston, Suff.	ALSTON, JOSEPH	Joseph Alston
67	ALSTON, DR ROBERT (d. 1719)	ALSTON, DR ROBERT	Dr Robert Alston
68	ALSTON, SIR THOMAS, 3RD BT. (c.1676- 1714), e. s. of Sir Rowland Alston of Odell, Beds; suc. fa. 1697 as 3rd Bt.; MP 1698-1700.	ALSTON, SIR THOMAS, 3RD BT.	Sir Thomas, 3rd Bt. Alston
69	ALTMAN, see Sir Sampson Gideon	ALTMAN	Altman
70	ALVES, JAMES (1738-1808), miniaturist; Edin. Soc. of Arts gold medal 1756; exh. RA 1775-9.	ALVES, JAMES	James Alves
71	AMBER, ROBERT	AMBER, ROBERT	Robert Amber
72	AMHERST, WILLIAM PITT (1773-1857), statesman, o. s. of William Amherst; Ch.Ch. Oxf. 1789; suc. uncle 1797 as 2nd B. Amherst; m. 1 1800 Hon. Sarah Archer, dau. of 2nd B. Archer, wid. of 5th E. of Plymouth, 2 1839 Ldy. Mary Sackville, wid. of 6th E. of Plymouth; env. Naples 1809-11 and China 1816; gov.-gen. Bengal 1822-8; cr. E. Amherst 1826.	AMHERST, WILLIAM PITT	William Pitt Amherst
73	ANCASTER, MARY (PANTON), DUCHESS OF (d. 1793), dau. of Thomas Panton of Newmarket, Cambs; m. 1750 (as his 2nd wife) 3rd D. of Ancaster (d. 1778); Mistress of the Robes to Queen Charlotte 1761-93; d. Naples.	ANCASTER, MARY	Mary Ancaster
74	ANDERSON, GEORGE	ANDERSON, GEORGE	George Anderson
75	ANDERSON, JOHN (fl. 1730-61), a Highland Scot, tutor to Edward Wortley Montagu from c.1730.	ANDERSON, JOHN	John Anderson
76	ANDERSON, JOHN	ANDERSON, JOHN	John Anderson
77	ANDERSON, W.	ANDERSON, W.	W. Anderson
78	ANDERSON	ANDERSON	Anderson
79	ANDOVER, WILLIAM HOWARD, VISCOUNT (1714-56), 1st surv. s. of 11th E. of Suffolk and 4th E. of Berkshire, of Elford Hall, Staffs; sty. Vct. Andover 1717-d.; educ. Eton; m. 1736 Ldy. Mary Finch, dau. of 2nd E. of Aylesford; MP 1737-47.	ANDOVER, WILLIAM HOWARD, VISCOUNT	William Howard, Viscount Andover
80	ANDRE	ANDRE	Andre
81	ANDREWS, FRANCIS (c.1718-74), s. and h. of Alexander Andrews of Co. Antrim; Trin. Dublin 1733, fell. 1740 and provost 1758-74; MP [I] 1759-60, 1761-74.	ANDREWS, FRANCIS	Francis Andrews
82	ANDREWS	ANDREWS	Andrews
83	ANGERSTEIN, possibly John Angerstein, 1773-1858, o. s. of John Julius Angerstein; m. 1799 Amelia Lock.	ANGERSTEIN, possibly John Angerstein, 1773-1858, o. s. of John Julius Angerstein	Angerstein
84	ANNANDALE, GEORGE JOHNSTON, 3RD MARQUESS OF (1720-92), 1st s. of 1st M. of Annandale [S] by his 2nd w.; sty. Ld. Johnston 1721-30 when suc. half-bro. as 3rd M.; became insane in 1742; in Holland 1743; suc. to mother's estates 1744, taking name of Van den Bempde; unm.	ANNANDALE, GEORGE JOHNSTON, 3RD MARQUESS OF	George Johnston, 3rd Marquess Of Annandale
85	ANNANDALE, JAMES JOHNSTON, 2ND MARQUESS OF, see James, Lord Johnston	ANNANDALE, JAMES JOHNSTON, 2ND MARQUESS OF	James Johnston, 2nd Marquess Of Annandale
86	ANNANDALE, WILLIAM JOHNSTON, 1ST MARQUESS OF (1663-1721), 1st surv. s. of 1st E. of Annandale [S]; suc. fa. 1672 as 2nd E.; Glasgow U.; m. 1 1682 Sophia Fairholm (d. 1716), 2 1718 Charlotte van Lore (d. 1762); cr. M. of Annandale [S] 1701; KT 1704.	ANNANDALE, WILLIAM JOHNSTON, 1ST MARQUESS OF	William Johnston, 1st Marquess Of Annandale
87	ANNESLEY, HON. RICHARD (1745-1824), s. of 1st Vct. Glerawly [I]; m. 1771 Anne Lambert; MP [I] 1776-1800; suc. bro. 1802 as 2nd E. Annesley [I].	ANNESLEY, HON. RICHARD	Hon. Richard Annesley
88	ANNESLEY, possibly William Annesley of Castlewellan, co. Down, 1709-70; barrister at law, Dublin, 1738; MP [I] 1741-58; m. 1738 Ldy. Anne Beresford, dau. of 1st E. of Tyrone [I]; cr. B. Annesley [I] 1758, and Vct. Glerawly [I] 1766; see Alexander Wright.	ANNESLEY, possibly William Annesley of Castlewellan, co. Down, 1709-70	Annesley
89	ANNINGSON, JOSEPH	ANNINGSON, JOSEPH	Joseph Anningson
90	ANNISON, JAMES, merchant.	ANNISON, JAMES, merchant.	James Annison
91	ANSON, THOMAS (c.1695-1773), e. s. of William Anson of Shugborough, Staffs; St John's Oxf. 1711; I.Temple, called 1719; suc. fa. 1720; Dilettanti 1736; MP 1747-70; unm.	ANSON, THOMAS	Thomas Anson
92	ANSON, THOMAS (1767-1818), e. s. of George Anson [formerly Adams -1773] of Shugborough, Staffs; educ. Eton and Oriel Oxf. 1784-8; suc. fa. 1789; MP 1789-1806; m. 1794 Ldy. Anne Margaret Coke, dau of 1st E. of Leicester; cr. Vct. Anson 1806.	ANSON, THOMAS	Thomas Anson
93	ANSON	ANSON	Anson
94	ANSTRUTHER, SIR JOHN, 1ST BT. (1678- 1753), s. of Sir William Anstruther of Anstruther, Co. Fife (Bt. of Nova Scotia); cr. Bt. 1700; MP 1702-7 [S], 1708-41; m. 1717 Ldy. Margaret Carmichael, dau. of 2nd E. of Hyndford [S].	ANSTRUTHER, SIR JOHN, 1ST BT.	Sir John, 1st Bt. Anstruther
95	ANSTRUTHER, possibly Sir John Anstruther of Anstruther, 1718-99, s. of Sir John Anstruther, 1st Bt.; Glasgow U. 1733; m. 1750 Janet Fall; suc. fa. 1753 as 2nd Bt.; MP 1766-74, 1780-2, 1790-3.	ANSTRUTHER, possibly Sir John Anstruther of Anstruther, 1718-99, s. of Sir John Anstruther, 1st Bt.	Anstruther
96	ANSTRUTHER, CAPT.	ANSTRUTHER, CAPT.	Capt. Anstruther
97	APPERLEY, THOMAS (b. c.1734), of Plas Grono, Denb., s. of Thomas Apperley of Leominster, Herefs; Oriel Oxf. 1766; see Sir Watkin Williams Wynn.	APPERLEY, THOMAS	Thomas Apperley
98	APSLEY, HENRY BATHURST, BARON (1762- 1834), statesman, e. s. of 2nd E. Bathurst; sty. B. Apsley 1775-94 when suc. fa. as 3rd E.; educ. Eton and Ch.Ch. Oxf. 1779; MP 1783-6, 1794; m. 1789 Georgiana Lennox; KG 1817.	APSLEY, HENRY BATHURST, BARON	Henry Bathurst, Baron Apsley
99	APTHAL, GEORGE, merchant.	APTHAL, GEORGE, merchant.	George Apthal
100	APTHORP, JOHN (1730-72), 2nd s. of Charles Apthorp of Boston, Mass.; m. 1 Alicia Mann (1739-63), 2 Hannah Greenleaf.	APTHORP, JOHN	John Apthorp
101	APTHORP	APTHORP	Apthorp
102	ARBUTHNOT, ROBERT (1669-1733?), 2nd s. of Rev. Alexander Arbuthnot of Arbuthnot, Kinc.; merchant and banker in Rouen and Paris.	ARBUTHNOT, ROBERT	Robert Arbuthnot
103	ARBUTHNOT, CAPT. MARRIOT (c.1711-94), naval officer, lt. 1739, cmdr. 1746, capt. 1747, adml. 1793.	ARBUTHNOT, CAPT. MARRIOT	Capt. Marriot Arbuthnot
104	ARBUTHNOT	ARBUTHNOT	Arbuthnot
105	ARCEDECKNE, CHALONER (c.1743-1809) of Glevering Park, Suff., s. of Andrew Arcedeckne of Gurnamone, Gal.; educ. Eton and Ch.Ch. Oxf. 1760; suc. fa. 1763; m. 1777 Catherine Leigh; MP 1780-6.	ARCEDECKNE, CHALONER	Chaloner Arcedeckne
106	ARCHDEACON, CAPT. THOMAS	ARCHDEACON, CAPT. THOMAS	Capt. Thomas Archdeacon
107	ARCHER, ANDREW (1659-1741), e. s. of Thomas Archer of Umberslade, War; Trin. Oxf. 1678; I.Temple 1680; suc. fa. 1685; MP 1690-8, 1705-10, 1713-22; m. 1693 Elizabeth Dashwood.	ARCHER, ANDREW	Andrew Archer
108	ARCHER, HON. ANDREW (1736-78), e. s. of 1st B. Archer of Umberslade, War; educ. Eton and Trin. Oxf. 1754; MP 1761-8; m. 1761 Sarah West; suc. fa. 1768 as 2nd B.	ARCHER, HON. ANDREW	Hon. Andrew Archer
109	ARCHER, JOHN, (c.1769-91), of London.	ARCHER, JOHN,	John Archer
110	ARCHER, THOMAS (1695-1768), e. s. of Andrew Archer of Umberslade, War; Trin. Oxf. 1712; m. 1726 Catherine Tipping (d. 1754); MP 1735-47; Dilettanti 1736; cr. B. Archer 1747.	ARCHER, THOMAS	Thomas Archer
111	ARCHER, THOMAS	ARCHER, THOMAS	Thomas Archer
112	ARDEN, WILLIAM (c.1731-68), s. of George Arden of Ombersley, Worcs; educ. Eton and King's Camb. 1750, fell. 1754; rect. of Brampton Ash, Northants, 1764-d.; m. c.1766; preb. of Worcester 1768; took his own life.	ARDEN, WILLIAM	William Arden
113	ARESKIN, BRIG.	ARESKIN, BRIG.	Brig. Areskin
114	ARGER, PHILIP (b. c.1749), painter.	ARGER, PHILIP	Philip Arger
115	ARGYLL, JOHN CAMPBELL, 2ND DUKE OF (1680-1743), e. s. of 1st D. of Argyll [S]; sty. Ld. Lorne [S] 1689-1703 when suc. fa. as 2nd D.; m. 1 1701 Mary Brown (d. 1717), 2 1717 Jane Warburton; army officer 1702, gen. 1711, FM 1736; KT 1704; cr. B. Chatham 1705; KG 1710; c.-in-c. English forces in Spain 1711; gov. of Minorca 1712-16; cr. D. of Greenwich 1719.	ARGYLL, JOHN CAMPBELL, 2ND DUKE OF	John Campbell, 2nd Duke Of Argyll
116	ARGYLL, JOHN CAMPBELL, 5TH DUKE OF (1723-1806), 1st surv. s. of 4th D. of Argyll [S]; army officer 1739, col. 1755, gen. 1778, FM 1796; MP 1744-61, 1765-6; m. 1759 Elizabeth Gunning (1733-90), wid. of 6th D. of Hamilton [S]; sty. M. of Lorne [S] 1761-70 when suc. fa. as 5th D.	ARGYLL, JOHN CAMPBELL, 5TH DUKE OF	John Campbell, 5th Duke Of Argyll
117	ARGYLL, 6TH DUKE OF, see George, Marquess of Lorne	ARGYLL, 6TH DUKE OF	6th Duke Of Argyll
118	ARMITAGE, WHALEY (1767-1855), s. and h. of Robert Armitage, merchant of Liverpool; L.Inn 1785, called 1794; Trin. Camb. 1786; m. 1796.	ARMITAGE, WHALEY	Whaley Armitage
119	ARMITSTEAD, ELIZABETH BRIDGET (1750- 1842), courtesan; née Cane [Jesse, Selwyn, 2:230-1, has Blane], changed name to Armitstead c.1770; m. 1795 Charles James Fox.	ARMITSTEAD, ELIZABETH BRIDGET	Elizabeth Bridget Armitstead
120	ARMSTRONG, DR JOHN (1709-79), physician and poet; b. Castleton, Rox.; MD Edinburgh 1732; phys. to London Soldiers' Hosp. 1746; phys. to British forces in Germany 1760-3.	ARMSTRONG, DR JOHN	Dr John Armstrong
121	ARMSTRONG, MAJ.	ARMSTRONG, MAJ.	Maj. Armstrong
122	ARMYTAGE, SIR JOHN, 2ND BT. (1732-58), e. s. of Sir Samuel Armytage; suc. fa. 1747 as 2nd Bt.; educ. Eton and Trin. Camb. 1751; MP 1754-8; d. from wounds in France; unm.	ARMYTAGE, SIR JOHN, 2ND BT.	Sir John, 2nd Bt. Armytage
123	ARMYTAGE, JOSEPH (1761-1820), s. of Joseph Armytage of Wakefield, Yorks.	ARMYTAGE, JOSEPH	Joseph Armytage
124	ARNOLD, JOHN, s. of William Arnold of Exeter.	ARNOLD, JOHN, s. of William Arnold of Exeter.	John Arnold
125	ARRAN, 2ND EARL OF, see Arthur, Viscount Sudley	ARRAN, 2ND EARL OF	2nd Earl Of Arran
126	ARTAUD, WILLIAM (1763-1823), painter; RA Schools 1778, gold medal 1786, travelling studentship 1795; SA silver palettes 1775/6, 1777, 1782; exh. RA 1784-1822.	ARTAUD, WILLIAM	William Artaud
127	ARTHUR	ARTHUR	Arthur
128	ARUNDEL	ARUNDEL	Arundel
129	ARUNDEL, FRANCIS (d. 1712), merchant; bur. in Bath Abbey.	ARUNDEL, FRANCIS	Francis Arundel
130	ARUNDELL, Hon. HENRY (1694-1746), e. s. of 5th B. Arundell of Wardour; m. 1 1716 Elizabeth  Everard (d. 1728), 2 1729 Ldy. Anne Herbert, dau. of 2nd M. of Powis; suc. fa. 1726 as 6th B. 1715-16 Padua (12 May 1715) [Aix, Nov.]	ARUNDELL, Hon. HENRY	Hon. Henry Arundell
131	ARUNDELL, Hon. HENRY (1717-56), e. s. of 6th B. Arundell of Wardour; m. 1739 Mary Bellings-Arundell; suc. fa. 1746 as 7th B.	ARUNDELL, Hon. HENRY	Hon. Henry Arundell
132	ARUNDELL, HENRY BELLINGS, 8th Baron (1740-1808), e. s. of 7th B. Arundell of Wardour; educ. St Omer under name of Bellings 1753-8; suc. fa. 1756 as 8th B.; m. 1763 Mary Conquest.	ARUNDELL, HENRY BELLINGS, 8th Baron	Henry Bellings Arundell
133	ARUNDELL, Hon. RICHARD (c.1696-1758), of Allerton Mauleverer, Yorks, 2nd s. of 2nd B. Arundell of Trerice; page to the Queen 1707-14; MP 1720-58; m. 1732 Ldy. Frances Manners, dau. of 2nd D. of Rutland; surv. gen. of the KiNG'S WORKS 1726-37.	ARUNDELL, Hon. RICHARD	Hon. Richard Arundell
134	ASH, EDWARD (c.1765-1829), s. of Samuel Ash of Holborn, Mx.; Ch.Ch. Oxf. 1782; Radcliffe travelling fell. 1790; MD 1796; FRCP 1798; phys.extra. to the King 1810.	ASH, EDWARD	Edward Ash
135	ASHBURNER, ELIZA	ASHBURNER, ELIZA	Eliza Ashburner
136	ASHBURNHAM, 3RD EARL OF, see George, Viscount St Asaph	ASHBURNHAM, 3RD EARL OF	3rd Earl Of Ashburnham
137	ASHBURNHAM, JOHN ASHBURNHAM, 2ND EARL OF (1724-1812), o. s. of 1st E. of Ashburnham; suc. fa. 1737 as 2nd E.; Clare Camb. 1741; Dilettanti 1745; m. 1756 Elizabeth Crowley.	ASHBURNHAM, JOHN ASHBURNHAM, 2ND EARL OF	John Ashburnham, 2nd Earl Of Ashburnham
138	ASHE, ST GEORGE (c.1698-1721), e. s. of St George Ashe, Bp. of Clogher and Derry; Trin. Dublin 1715; see George Berkeley.	ASHE, ST GEORGE	St George Ashe
139	ASKEW, ANTHONY (1722-74), bibliophile, e. s. of Dr Adam Askew of Newcastle; Emmanuel Camb. 1739; Leiden U. 1745; FRS 1749; MD 1750; FRCP 1753.	ASKEW, ANTHONY	Anthony Askew
140	ASKEW, merchant.	ASKEW, merchant.	Askew
141	ASSHETON, WILLIAM (1758-1833), e. s. of Ralph Assheton of Downham and Cuerdale, Lancs; suc. fa. 1758; BNC and Balliol Oxf.; M.Temple 1779; m. 1786 Lettice, dau. of Sir Richard Brooke, 4th Bt. of Norton, Ches.	ASSHETON, WILLIAM	William Assheton
142	ASTE, MICHAEL	ASTE, MICHAEL	Michael Aste
143	ASTLEY, ANNE (MILLES), LADY (d. 1792), yst. dau. of Christopher Milles of Nackington, Kent; m. 1759 (as his 2nd wife) Sir Edward Astley, 4th Bt. of Melton Constable, Norf.	ASTLEY, ANNE	Anne Astley
144	ASTLEY, HENRY NICHOLAS (1767-1854), s. of Sir Edward Astley, 4th Bt. of Melton Constable, Norf.; Christ's Camb. 1785; L.Inn 1785; ord. 1791; rect. of East Barsham, Norf. 1791-1854.	ASTLEY, HENRY NICHOLAS	Henry Nicholas Astley
145	ASTLEY, SIR JOHN, 2ND BT. (1687-1771), 1st surv. s. of Sir Richard Astley of Patshull, Staffs; suc. fa. 1688 as 2nd Bt.; m. 1711 Mary Prynce; MP 1727-71.	ASTLEY, SIR JOHN, 2ND BT.	Sir John, 2nd Bt. Astley
146	ASTLEY, JOHN (1724-87), painter, 2nd s. of Richard Astley, surgeon; m. 1 c.1756-8 in Dublin, 2 1759 Ldy. Dukinfield-Daniell (d. 1762), whom he suc. to the Tabley and Dukinfield estates, 3 c.1778 Mary Wagstaffe.	ASTLEY, JOHN	John Astley
147	ASTLEY, JOHN (d. 1718), yr. s. of Sir Jacob Astley, 1st Bt. of Melton Constable, Norf.	ASTLEY, JOHN	John Astley
148	ASTON, HENRY HERVEY (c.1740-85) of Aston, Ches., s. of Hon. Henry Hervey Aston, DD (d. 1748; uncle of the 4th E. of Bristol); Ch.Ch. Oxf. 1758; m. 1758 Catherine Dicconson (d. 1766).	ASTON, HENRY HERVEY	Henry Hervey Aston
149	ASTON, COL.	ASTON, COL.	Col. Aston
150	ASTON	ASTON	Aston
151	ATKINS, MISS, see Mr and Mrs Wallcot.	ATKINS, MISS	Miss Atkins
152	ATKINSON, ANTONY	ATKINSON, ANTONY	Antony Atkinson
153	ATKINSON, FR.	ATKINSON, FR.	Fr. Atkinson
154	ATWELL, JOSEPH (c.1696-1768); Exeter Oxf. 1712; fell. 1718; rect. 1733-7; DD 1738; preb. of Southwell 1737, Gloucester 1737, and York 1739; canon of Westminster 1759.	ATWELL, JOSEPH	Joseph Atwell
155	AUBERT	AUBERT	Aubert
