index	order	parents	heir	pupil	surviving	posthumous	illegitimate
123		Joseph Armytage of Wakefield, Yorks	FALSE	FALSE	FALSE	FALSE	FALSE
124		William Arnold of Exeter	FALSE	FALSE	FALSE	FALSE	FALSE
130	e.	5th B. Arundell of Wardour	FALSE	FALSE	FALSE	FALSE	FALSE
131	e.	6th B. Arundell of Wardour	FALSE	FALSE	FALSE	FALSE	FALSE
132	e.	7th B. Arundell of Wardour	FALSE	FALSE	FALSE	FALSE	FALSE
133	2nd	2nd B. Arundell of Trerice	FALSE	FALSE	FALSE	FALSE	FALSE
134		Samuel Ash of Holborn, Mx.	FALSE	FALSE	FALSE	FALSE	FALSE
137	o.	1st E. of Ashburnham	FALSE	FALSE	FALSE	FALSE	FALSE
138	e.	St George Ashe, Bp. of Clogher and Derry	FALSE	FALSE	FALSE	FALSE	FALSE
139	e.	Dr Adam Askew of Newcastle	FALSE	FALSE	FALSE	FALSE	FALSE
141	e.	Ralph Assheton of Downham and Cuerdale, Lancs	FALSE	FALSE	FALSE	FALSE	FALSE
143	yst.	Christopher Milles of Nackington, Kent	FALSE	FALSE	FALSE	FALSE	FALSE
144		Sir Edward Astley, 4th Bt. of Melton Constable, Norf.	FALSE	FALSE	FALSE	FALSE	FALSE
145	1st	Sir Richard Astley of Patshull, Staffs	FALSE	FALSE	TRUE	FALSE	FALSE
146	2nd	Richard Astley, surgeon	FALSE	FALSE	FALSE	FALSE	FALSE
147	yr.	Sir Jacob Astley, 1st Bt. of Melton Constable, Norf	FALSE	FALSE	FALSE	FALSE	FALSE
148		Hon. Henry Hervey Aston, DD (d. 1748	FALSE	FALSE	FALSE	FALSE	FALSE
156	e.	Sir Thomas Aubrey of Boarstall, Bucks, and Llantrithyd, Glam.	FALSE	FALSE	FALSE	FALSE	FALSE
158	e.	Anthony Aufrere of Hoveton St Peter, Norf.	FALSE	FALSE	FALSE	FALSE	FALSE
159	2nd	Israel Aufrère	FALSE	FALSE	FALSE	FALSE	FALSE
160	6th	George III	FALSE	FALSE	FALSE	FALSE	FALSE
161	2nd	the Rev. George Austen of Steventon, Hants, bro. of Jane Austen the novelist	FALSE	FALSE	FALSE	FALSE	FALSE
167		Francis Ayscough, Dean of Bristol	FALSE	FALSE	FALSE	FALSE	FALSE
177	2nd	Sir Walter Bagot, 4th Bt. of Blithfield, Staffs	FALSE	FALSE	TRUE	FALSE	FALSE
178	3rd	Sir Walter Bagot, 5th Bt. of Blithfield, Staffs	FALSE	FALSE	TRUE	FALSE	FALSE
179	6th	Sir Walter Bagot, 5th Bt. of Blithfield, Staffs	FALSE	FALSE	TRUE	FALSE	FALSE
180	1st	Sir Walter Bagot, 5th Bt. of Blithfield, Staffs.	FALSE	FALSE	TRUE	FALSE	FALSE
181	4th	Adam Bagshaw of Wormhill Hall, Derby	FALSE	FALSE	FALSE	FALSE	FALSE
184	e.	Robert Baillie of Jerviswood, Lan. and Mellerstain, Rox.	FALSE	FALSE	FALSE	FALSE	FALSE
185	2nd	Charles, Ld. Binning [S]	FALSE	FALSE	FALSE	FALSE	FALSE
186	e.	George (Hamilton) Baillie of Jerviswood, Lan., and Mellerstain, Rox.	FALSE	FALSE	FALSE	FALSE	FALSE
187		Sir Patrick Hume (cr. E. of Marchmont [S] 1697)	FALSE	FALSE	FALSE	FALSE	FALSE
198		William Baldwin of London and bro. of consul at Cyprus who d. 1768	FALSE	FALSE	FALSE	FALSE	FALSE
200	3rd	Charles Baldwyn of Stokesay Castle, Salop	FALSE	FALSE	FALSE	FALSE	FALSE
201		Blayney Townley Balfour (1744-71) of Dublin	FALSE	FALSE	FALSE	FALSE	FALSE
204		8th E. of Leven [S]	FALSE	FALSE	FALSE	FALSE	FALSE
206		Robert Ball, 5th s. of Sir Peter Ball, Kt. (1598-1680)	FALSE	FALSE	FALSE	FALSE	FALSE
207		Sir Charles Morgan	FALSE	FALSE	FALSE	FALSE	FALSE
212		1st E. of Lichfield	FALSE	FALSE	FALSE	FALSE	FALSE
213	e.	4th B. Baltimore [I] of Woodcott Green, Surr.	FALSE	FALSE	FALSE	FALSE	FALSE
214	o.	5th B. Baltimore [I] of Woodcott Green, Surr.	FALSE	FALSE	FALSE	FALSE	FALSE
217		Adml. Sir John Moore	FALSE	FALSE	FALSE	FALSE	FALSE
218	1st	Sir Richard Warwick Bampfylde of Poltimore, Devon.	FALSE	FALSE	TRUE	FALSE	FALSE
219		John Bampfylde (d. 1750)	FALSE	FALSE	FALSE	FALSE	FALSE
220	o.	Henry Bankes of Broadchalk, Salisbury (d. 1776)	FALSE	FALSE	TRUE	FALSE	FALSE
221	2nd	William Bankes of Winstanley Hall, Lancs	FALSE	FALSE	FALSE	FALSE	FALSE
230		Sir Robert Dalrymple, of Castleton	FALSE	FALSE	FALSE	FALSE	FALSE
237		Robert Barker (1739-1806)	FALSE	FALSE	FALSE	FALSE	FALSE
240	e.	Benjamin Barker (1720-93)	FALSE	FALSE	FALSE	FALSE	FALSE
241	yst.	Thomas Barker (1709-54) of the Hall, Bakewell, Derby.	FALSE	FALSE	FALSE	FALSE	FALSE
244	2nd	John Barlow of Lawrenny, Pemb	FALSE	FALSE	FALSE	FALSE	FALSE
245	e.	John Barlow of Lawrenny, Pemb	FALSE	FALSE	FALSE	FALSE	FALSE
248	7th	Sir Henry Vane, Kt., of Raby Castle, Durham	FALSE	FALSE	FALSE	FALSE	FALSE
249		John Barnard, a page in the Royal household	FALSE	FALSE	FALSE	FALSE	FALSE
250	o.	2nd E. of Darlington	FALSE	FALSE	FALSE	FALSE	FALSE
252	o.	Miles Barne of London	FALSE	FALSE	FALSE	FALSE	FALSE
253	e.	Miles Barne, 1718-90, of Sotterley Hall, Suff.	FALSE	FALSE	FALSE	FALSE	FALSE
257	o.	Peter Barré of Dublin	FALSE	FALSE	FALSE	FALSE	FALSE
259	o.	Richard Barrett of Belhus, Essex, by Anne Lennard, suo jure Bs. Dacre	FALSE	FALSE	FALSE	FALSE	FALSE
261	e.	1st Vct. Barrington [I]	FALSE	FALSE	FALSE	FALSE	FALSE
265		John Barry of Cork	FALSE	FALSE	FALSE	FALSE	FALSE
266	2nd	Hon. John Smith Barry of Belmont Hall, Ches., and Fota Is., Cork	FALSE	FALSE	TRUE	FALSE	FALSE
271	o.	5th E. of Barrymore [I]	FALSE	FALSE	FALSE	FALSE	FALSE
275		Samuel Ball of London	FALSE	FALSE	FALSE	FALSE	FALSE
276		Isaac Basire, engraver of Clerkenwell	FALSE	FALSE	FALSE	FALSE	FALSE
277	e.	Francis Basset of Tehidy, Corn.	FALSE	FALSE	FALSE	FALSE	FALSE
278	2nd	Sir James Bateman, Kt., of Shobdon Court, Herefs	FALSE	FALSE	FALSE	FALSE	FALSE
280		Sir James Bateman, Kt., of Shobdon Court, Herefs	TRUE	FALSE	FALSE	FALSE	FALSE
287		Bath 1803	FALSE	FALSE	FALSE	FALSE	FALSE
291	3rd	Sir Benjamin Bathurst, Kt.	FALSE	FALSE	FALSE	FALSE	FALSE
292	e.	1st B. Bathurst, later 1st E. Bathurst	FALSE	FALSE	FALSE	FALSE	FALSE
293		Sir Benjamin Bathurst, Kt.	FALSE	FALSE	FALSE	FALSE	FALSE
297		Rev. William Batt	FALSE	FALSE	FALSE	FALSE	FALSE
301		John Baxter, architect of Edinburgh	FALSE	FALSE	FALSE	FALSE	FALSE
306	o.	William Baynes of Kilburn Hall and Harefield Place, Mx.	FALSE	FALSE	FALSE	FALSE	FALSE
307		Robert Bayspoole, a mercer	FALSE	FALSE	FALSE	FALSE	FALSE
310		Edmund Beaghan of Sissinghurst, Kent	FALSE	FALSE	FALSE	FALSE	FALSE
311		Bartholomew Beale of Heath Ho., Leintwardine, Herefs	FALSE	FALSE	FALSE	FALSE	FALSE
312		Edward Bearcroft of London	FALSE	FALSE	FALSE	FALSE	FALSE
313	e.	E. of Hertford, cr. M. of Hertford 1793, of Ragley Hall, War	FALSE	FALSE	FALSE	FALSE	FALSE
314	o.	E. of Hertford, later 7th D. of Somerset	FALSE	FALSE	FALSE	FALSE	FALSE
316	e.	Sir William Beauchamp-Proctor of Langley Park, Norf.	FALSE	FALSE	FALSE	FALSE	FALSE
317	8th	1st D. of St Albans	FALSE	FALSE	FALSE	FALSE	FALSE
318	o.	1st B. Vere	FALSE	FALSE	TRUE	FALSE	FALSE
319	e.	5th D. of St Albans 1787	FALSE	FALSE	FALSE	FALSE	FALSE
320	o.	Hon. Topham Beauclerk	FALSE	FALSE	FALSE	FALSE	FALSE
321	5th	1st D. of St Albans	FALSE	FALSE	FALSE	FALSE	FALSE
322	o.	Ld. Sidney Beauclerk of Windsor and gd.-s. of 1st D. of St Albans	FALSE	FALSE	FALSE	FALSE	FALSE
323	3rd	1st D. of St Albans	FALSE	FALSE	FALSE	FALSE	FALSE
324		John Symes Berkeley of Stoke Gifford, Glos.	FALSE	FALSE	FALSE	FALSE	FALSE
325		2nd D. of Beaufort	FALSE	FALSE	FALSE	FALSE	FALSE
326	e.	Mark Beaufoy of Lambeth	FALSE	FALSE	FALSE	FALSE	FALSE
327		Mark Beaufoy of Lambeth	FALSE	FALSE	FALSE	FALSE	FALSE
329	o.	Sir George Beaumont of Great Dunmow, Essex and Coleorton, Leics	FALSE	FALSE	FALSE	FALSE	FALSE
330	o.	Thomas Beaumont of Chapelthorpe and The Oaks, Darton, Yorks	FALSE	FALSE	FALSE	FALSE	FALSE
332	o.	Julines Beckford	FALSE	FALSE	FALSE	FALSE	FALSE
333		Alderman Richard Beckford (who was bro. of William, Ld. Mayor of London)	FALSE	FALSE	FALSE	FALSE	TRUE
334	o.	William Beckford of Fonthill, Ld. Mayor of London (d. 1770)	FALSE	FALSE	FALSE	FALSE	FALSE
335	e.	Stephen Beckingham of Bourne Park, Kent	FALSE	FALSE	FALSE	FALSE	FALSE
338		Francis Russell, M. of Tavistock (d. 1767)	FALSE	FALSE	FALSE	FALSE	FALSE
340	o.	Sir Henry Bedingfield, 2nd Bt. of Oxburgh Hall, Norf.	FALSE	FALSE	FALSE	FALSE	FALSE
341	yr.	Rowland Belasyse of Winchester	FALSE	FALSE	FALSE	FALSE	FALSE
342	2nd	Anthony Belasyse of Leghorn	FALSE	FALSE	FALSE	FALSE	FALSE
343		Sir Richard Belasyse, Kt. of Ludworth and Owton, Durham	FALSE	FALSE	FALSE	FALSE	FALSE
344	yr.	Hon. Sir Rowland Belasyse	FALSE	FALSE	FALSE	FALSE	FALSE
347	o.	1st E. Grosvenor, of Grosvenor House, London, and Eaton Hall, Ches.	FALSE	FALSE	TRUE	FALSE	FALSE
351	e.	Sir Patrick Bellew of Barmeath, co. Louth	FALSE	FALSE	FALSE	FALSE	FALSE
352		3rd B. Bellew [I] of Duleek, co. Louth	FALSE	FALSE	FALSE	FALSE	FALSE
353	2nd	Sir Richard Bellings, Kt., by Frances, dau. and coh. of Sir John Arundell, Kt. of Laherne, Corn	FALSE	FALSE	TRUE	FALSE	FALSE
357		3rd Vct. Molesworth [I]	FALSE	FALSE	FALSE	FALSE	FALSE
358		Peter Paul Benazech, draughtsman and engraver	FALSE	FALSE	FALSE	FALSE	FALSE
362		the Rev. J. Benson, rect. of Cradley, Herefs	FALSE	FALSE	FALSE	FALSE	FALSE
366		Jonathan Farr of Moorfields, Mx.	FALSE	FALSE	FALSE	FALSE	FALSE
367	2nd	1st D. of Portland	FALSE	FALSE	FALSE	FALSE	FALSE
368	e.	the 1st E. of Portland, half-bro. of 1st D. of Portland	FALSE	FALSE	FALSE	FALSE	FALSE
370		James Bentley of Oulton, Yorks (Dr Richard Bentley's half bro.)	FALSE	FALSE	FALSE	FALSE	FALSE
375	3rd	Thomas Berington of Moat Hall, Salop	FALSE	FALSE	FALSE	FALSE	FALSE
376	1st	Henry Drax of Ellerton Abbey, Yorks	FALSE	FALSE	FALSE	FALSE	FALSE
377	e.	4th E. of Berkeley	FALSE	FALSE	FALSE	FALSE	FALSE
378		William Berkeley of Kilkenny	FALSE	FALSE	FALSE	FALSE	FALSE
380	e.	4th B. Berkeley	FALSE	FALSE	FALSE	FALSE	FALSE
381	e.	John Symes Berkeley	FALSE	FALSE	FALSE	FALSE	FALSE
382	yst.	1st Vct. Windsor [I]	FALSE	FALSE	FALSE	FALSE	FALSE
390		Charles Berners of Egham, Surr.	FALSE	FALSE	FALSE	FALSE	FALSE
392	e.	Robert Berry	FALSE	FALSE	FALSE	FALSE	FALSE
395	2nd	3rd D. of Ancaster	FALSE	FALSE	FALSE	FALSE	FALSE
396	e.	James Bertie of Springfield, Essex	FALSE	FALSE	FALSE	FALSE	FALSE
397	3rd	3rd E. of Abingdon	FALSE	FALSE	FALSE	FALSE	FALSE
398		Hon. James Bertie of Stanwell, Mx. (d. 1735)	TRUE	FALSE	FALSE	FALSE	FALSE
401	2nd	Henry Vernon of Hilton, Salop	FALSE	FALSE	FALSE	FALSE	FALSE
402		James II (by Arabella Churchill), by whom cr. D. of Berwick 1687	FALSE	FALSE	FALSE	FALSE	TRUE
408	2nd	Charles Biddulph of Biddulph, Staffs, see John Biddulph	FALSE	FALSE	FALSE	FALSE	FALSE
409	e.	Charles Biddulph of Biddulph, Staffs, and Burton Park, Sx.	FALSE	FALSE	FALSE	FALSE	FALSE
410	e.	John Biddulph of Biddulph, Staffs, and Burton, Sx.	FALSE	FALSE	FALSE	FALSE	FALSE
411		William Bigge of St Andrew's, Holborn, and Benton, Northumb.	FALSE	FALSE	FALSE	FALSE	FALSE
412		Carl Weichsell, musician at Drury Lane	FALSE	FALSE	FALSE	FALSE	FALSE
415		John Bindley, distiller, of Smithfield, London	FALSE	FALSE	FALSE	FALSE	FALSE
416	4th	David Bindon of Cloney, Co. Clare	FALSE	FALSE	FALSE	FALSE	FALSE
419	e.	6th E. of Haddington[S] of Tyninghame	FALSE	FALSE	FALSE	FALSE	FALSE
429		Thomas Birtles of Birtles Hall, Macclesfield, Lancs	FALSE	FALSE	FALSE	FALSE	FALSE
434	e.	Sir Cecil Bisshopp of Parham Park, Sx.	FALSE	FALSE	FALSE	FALSE	FALSE
440	e.	John Blackburne of Orford Hall, Lancs	FALSE	FALSE	FALSE	FALSE	FALSE
443		Sir Edward Blackett of Newby Hall, Yorks	FALSE	FALSE	FALSE	FALSE	FALSE
445	yr.	Capt. John Blackwell of Ireland (gov. of Pennsylvania)	FALSE	FALSE	FALSE	FALSE	FALSE
448		Thomas Blagrove	FALSE	FALSE	FALSE	FALSE	FALSE
449		8th E. of Westmorland	FALSE	FALSE	FALSE	FALSE	FALSE
451	e.	John Blair of Pittendreich	FALSE	FALSE	FALSE	FALSE	FALSE
458		Wilkinson Blanshard of York	FALSE	FALSE	FALSE	FALSE	FALSE
461	2nd	William Blathwayt of Dyrham Pk., Glos	FALSE	FALSE	FALSE	FALSE	FALSE
462	e.	William Blathwayt of Dyrham Pk., Glos	FALSE	FALSE	FALSE	FALSE	FALSE
463	1st	William Blathwayt of Dyrham Pk., Glos	FALSE	FALSE	FALSE	FALSE	FALSE
465	2nd	1st E. of Darnley [I] of Cobham Hall, Kent	FALSE	FALSE	TRUE	FALSE	FALSE
468	1st	Sir Ralph Blois of Cockfield Hall and Grundisburgh, Suff.	FALSE	FALSE	TRUE	FALSE	FALSE
473		Thomas Blount of Orleton, Herts	FALSE	FALSE	FALSE	FALSE	FALSE
474		5th B. Aston [S] of Forfar	TRUE	FALSE	FALSE	FALSE	FALSE
475		Robert Blundell	FALSE	FALSE	FALSE	FALSE	FALSE
477		James Bodkin of Dublin	FALSE	FALSE	FALSE	FALSE	FALSE
478		William Bohun MD of Ipswich	FALSE	FALSE	FALSE	FALSE	FALSE
479		Rev. Thomas Collins of Winchester	FALSE	FALSE	FALSE	FALSE	FALSE
480		1st Vct. St John of Lydiard Tregoze, Wilts	FALSE	FALSE	FALSE	FALSE	FALSE
487	e.	Charles Boone, gov. of Bombay	FALSE	FALSE	FALSE	FALSE	FALSE
490	e.	Brooke Boothby of Ashbourne Hall, Derby (who suc. fa. 1787 as 6th Bt.)	FALSE	FALSE	FALSE	FALSE	FALSE
491	o.	Gore Boothby	FALSE	FALSE	FALSE	FALSE	FALSE
492		Horace Walpole	FALSE	FALSE	FALSE	FALSE	FALSE
495	o.	1st B. Boringdon	FALSE	FALSE	FALSE	FALSE	FALSE
498	4th	David Bosanquet	FALSE	FALSE	FALSE	FALSE	FALSE
499	o.	David Bosanquet (d. 1741)	FALSE	FALSE	FALSE	FALSE	FALSE
500	2nd	David Bosanquet	FALSE	FALSE	FALSE	FALSE	FALSE
501	e.	Samuel Bosanquet	FALSE	FALSE	FALSE	FALSE	FALSE
506		William Bosville	FALSE	FALSE	FALSE	FALSE	FALSE
507	2nd	Godfrey Bosville of Gunthwaite, Yorks	FALSE	FALSE	FALSE	FALSE	FALSE
508	e.	Godfrey Bosville of Gunthwaite, Yorks	TRUE	FALSE	FALSE	FALSE	FALSE
509	e.	Alexander Boswell, Ld. Auchinleck	FALSE	FALSE	FALSE	FALSE	FALSE
510	o.	Capt. John Boteler	FALSE	FALSE	FALSE	FALSE	FALSE
512	3rd	Sir William Boughton, 4th Bt., of Lawford Hall, War	FALSE	FALSE	FALSE	FALSE	FALSE
513	2nd	Shuckburgh Boughton	FALSE	FALSE	FALSE	FALSE	FALSE
515	2nd	Sir Barrington Bourchier, Kt.	FALSE	FALSE	FALSE	FALSE	FALSE
520	2nd	1st Vct. Folkestone of Longford Castle	FALSE	FALSE	FALSE	FALSE	FALSE
521		Sir Jacob Bouverie (who was cr. Vct. Folkestone)	FALSE	FALSE	FALSE	FALSE	FALSE
522		Andrew Bowater	FALSE	FALSE	FALSE	FALSE	FALSE
524	yr.	Thomas Bowdler	FALSE	FALSE	FALSE	FALSE	FALSE
526		James Bowdoin of Naushon I., Maine	FALSE	FALSE	FALSE	FALSE	FALSE
529		Paul Bowes	TRUE	FALSE	FALSE	FALSE	FALSE
531		Sir William Bowes of Streatlam Castle, Durham	FALSE	FALSE	FALSE	FALSE	FALSE
532		Walter Bowman	FALSE	FALSE	FALSE	FALSE	FALSE
536		Augustine Boyd of London	FALSE	FALSE	FALSE	FALSE	FALSE
540		1st E. of Shannon [I]	FALSE	FALSE	FALSE	FALSE	FALSE
541		2nd E. of Shannon [I]	FALSE	FALSE	TRUE	FALSE	FALSE
543	o.	Hon. Frederick Hamilton	FALSE	FALSE	TRUE	FALSE	FALSE
544	1st	3rd E. of Bridgewater of Brackley, Northants	FALSE	FALSE	TRUE	FALSE	FALSE
547		Robert Bradstreet of Higham and Bentley Grove, Suff.	FALSE	FALSE	FALSE	FALSE	FALSE
549		Portuguese or German Jew	FALSE	FALSE	FALSE	FALSE	FALSE
553	o.	Thomas Brand	FALSE	FALSE	FALSE	FALSE	FALSE
554	e.	Timothy Brand of the Hyde, Ingatestone, Essex, 1st cos. of Thomas Brand, c.1717-70	FALSE	FALSE	FALSE	FALSE	FALSE
555	e.	Thomas Brand, c.1717-70, of The Hoo, Kimpton, Herts.	FALSE	FALSE	FALSE	FALSE	FALSE
556		William Brand of Newmarket, Suff.	FALSE	FALSE	FALSE	FALSE	FALSE
557	e.	Thomas Brand (1749-94) of The Hoo, Kimpton, Herts	FALSE	FALSE	FALSE	FALSE	FALSE
559	e.	Charles Brandling of Gosforth House, Northumb.	FALSE	FALSE	FALSE	FALSE	FALSE
562		Colin Campbell of Carwhin	FALSE	FALSE	FALSE	FALSE	FALSE
565	e.	Matthew Brettingham (d. 1769), architect, of Norwich	FALSE	FALSE	FALSE	FALSE	FALSE
566		Michael Savary Furs and Mary Brettingham (b. c.1732, dau. of the architect Matthew Brettingham the elder)	FALSE	FALSE	FALSE	FALSE	FALSE
568		Francis Durand de Breval	FALSE	FALSE	FALSE	FALSE	FALSE
570		Dr Colwell Brickenden of Chawton, Hants, master of Pembroke Oxf.	FALSE	FALSE	FALSE	FALSE	FALSE
572	2nd	Sir Orlando Bridgeman, 1st Bt., of Great Lever, Lancs	FALSE	FALSE	FALSE	FALSE	FALSE
573		Sir Brook Bridges	FALSE	FALSE	FALSE	TRUE	FALSE
574		William Bridges of Covent Gdn., London	FALSE	FALSE	FALSE	FALSE	FALSE
577	yr.	1st D. of Bridgewater	FALSE	FALSE	FALSE	FALSE	FALSE
579		2nd D. of Bedford	FALSE	FALSE	FALSE	FALSE	FALSE
587	3rd	B. Hervey of Ickworth, Suff.	FALSE	FALSE	FALSE	FALSE	FALSE
591	e.	Robert Bristow of Micheldever, Hants	FALSE	FALSE	FALSE	FALSE	FALSE
592	2nd	Robert Bristow of Micheldever, Hants	FALSE	FALSE	FALSE	FALSE	FALSE
598	o.	1st Vct. Midleton [I] of Ballyanan, Cork, and Pepper Harrow Pk., Surr.	FALSE	FALSE	TRUE	FALSE	FALSE
600		3rd Vct. Midleton [I]	FALSE	FALSE	FALSE	FALSE	FALSE
601	e.	1st E. Cornwallis	FALSE	FALSE	FALSE	FALSE	FALSE
603	e.	William Bromfield of Holborn	FALSE	FALSE	FALSE	FALSE	FALSE
604	o.	William Bromley of Baginton, War	FALSE	FALSE	TRUE	FALSE	FALSE
605	o.	William Throckmorton Bromley of Baginton, War	FALSE	FALSE	FALSE	FALSE	FALSE
610	o.	7th B. Brooke	FALSE	FALSE	TRUE	FALSE	FALSE
611	1st	Peter Brooke of Mere, Ches.	FALSE	FALSE	TRUE	FALSE	FALSE
612		Jonas Langford Brooke of Mere, Ches	FALSE	FALSE	FALSE	FALSE	FALSE
613	2nd	Peter Brooke of Mere, Ches.	FALSE	FALSE	TRUE	FALSE	FALSE
620		a gunner of Placentia, Newfoundland	FALSE	FALSE	FALSE	FALSE	FALSE
622		Thomas Hill of Tern, Salop.	FALSE	FALSE	FALSE	FALSE	FALSE
623		Sir Brian Broughton-Delves, 4th Bt of Broughton Hall, Staffs, and Doddington, Ches.	FALSE	FALSE	FALSE	FALSE	FALSE
626		George Brown of Reigate, Surr.	FALSE	FALSE	FALSE	FALSE	FALSE
627		Sir John Brown, Bt., of Caversham, Oxon.	FALSE	FALSE	FALSE	FALSE	FALSE
630		Samuel Brown, watchmaker	FALSE	FALSE	FALSE	FALSE	FALSE
632	e.	Lancelot 'Capability' Brown	FALSE	FALSE	FALSE	FALSE	FALSE
634		William Brown of London, and bro. of Sir Robert Brown	FALSE	FALSE	FALSE	FALSE	FALSE
637	e.	William Brown of London	FALSE	FALSE	FALSE	FALSE	FALSE
643	o.	Isaac Hawkins Browne of London and Badger Hall, Salop	FALSE	FALSE	FALSE	FALSE	FALSE
645	2nd	Robert Browne of Browne's Hill, co. Carlow	FALSE	FALSE	FALSE	FALSE	FALSE
649	1st	Sir William Brownlow of Humby and Belton, Lincs	FALSE	FALSE	TRUE	FALSE	FALSE
650		William Brownlow of Lurgan	FALSE	FALSE	FALSE	FALSE	FALSE
654	o.	1st E. of Ailesbury	FALSE	FALSE	TRUE	FALSE	FALSE
655	e.	1st E. of Ailesbury	FALSE	FALSE	FALSE	FALSE	FALSE
656		David Bruce of Kinnaird	FALSE	FALSE	FALSE	FALSE	FALSE
