index	text	travelIndex	place	tourIndex	forced	parent	travelEndDay	travelEndYear	travelEndMonth	travelStartDay	travelStartYear	travelStartMonth	lng	lat	tourEndTo	tourEndFrom	tourEndRange	tourStartTo	tourStartFrom	tourStartRange
12	Florence	1	Florence	2	FALSE		0	0	0	0	0	0	11.2480006	43.7710332	1770	1770	FALSE	1770	1770	FALSE
15	"Rome (29 Mar., 2 Aug.; Waters jnl.MSS)"	1	Rome	1	FALSE		0	0	0	0	0	0	12.4801802	41.8723889	1711	1711	FALSE	1711	1711	FALSE
16	Florence (by 5 Feb. 1767)	1	Florence	1	FALSE		5	1767	2	5	1767	2	11.2480006	43.7710332	1767	1767	FALSE	1767	1767	FALSE
16	Venice (20 Feb.)	2	Venice	1	FALSE		20	1767	2	20	1767	2	12.3155151	45.4408474						
17	Florence	1	Florence	1	FALSE		0	0	0	0	0	0	11.2480006	43.7710332	1766	1766	FALSE	1747	1747	FALSE
17	Leghorn	2	Leghorn	1	FALSE		0	0	0	0	0	0	10.416111	43.520833						
17	Pisa (d. 9 Nov. 1766)	3	Pisa	1	FALSE		0	0	0	0	0	0	10.4016888	43.7228386						
18	Florence	1	Florence	1	FALSE		0	0	0	0	0	0	11.2480006	43.7710332	1811	1811	FALSE	1755	1755	FALSE
18	Pisa	2	Pisa	1	FALSE		0	0	0	0	0	0	10.4016888	43.7228386						
18	Leghorn (1755- 78)	3	Leghorn	1	FALSE		0	1778	0	0	1755	0	10.416111	43.520833						
18	Naples	4	Naples	1	FALSE		0	0	0	0	0	0	14.2681244	40.8517746						
18	Palermo (1778-1811)	5	Palermo	1	FALSE		0	1811	0	0	1778	0	13.3612671	38.1156879						
19	Leghorn (8 Dec. 1771)	1	Leghorn	1	FALSE		8	1771	12	8	1771	12	10.416111	43.520833	1772	1772	FALSE	1771	1771	FALSE
19	Pisa (11-22 Dec.)	2	Pisa	1	FALSE		22	1771	12	11	1771	12	10.4016888	43.7228386						
19	Leghorn (23 Dec.)	3	Leghorn	1	FALSE		23	1771	12	23	1771	12	10.416111	43.520833						
19	Naples (29 Dec. 1771- 23 Feb. 1772)	4	Naples	1	FALSE		23	1772	2	29	1771	12	14.2681244	40.8517746						
19	Trent (15 Jul.)	1	Trent	2	FALSE		15	1777	7	15	1777	7	11.1197626	46.0700915	1777	1777	FALSE	1777	1777	FALSE
19	Venice (17 Sep.)	2	Venice	2	FALSE		17	1777	9	17	1777	9	12.3155151	45.4408474						
20	Venice (17-30 Apr.)	1	Venice	1	FALSE		30	1796	4	17	1796	4	12.3155151	45.4408474	1796	1796	FALSE	1796	1796	FALSE
20	Padua (13-15 May)	2	Padua	1	FALSE		15	1796	5	13	1796	5	11.8767611	45.4064349						
20	Vicenza (15-17 May)	3	Vicenza	1	FALSE		17	1796	5	15	1796	5	11.5354214	45.5454787						
20	Bassano (4 Jun.)	4	Bassano	1	FALSE		4	1796	6	4	1796	6	11.7272747	45.7657286						
21	Turin (13 Jun.)	2	Turin	1	FALSE		13	1760	6	13	1760	6	7.6868565	45.070312	1763	1763	FALSE	1760	1760	FALSE
21	Venice (by 25 Jun.-20 Oct.)	3	Venice	1	FALSE		20	1760	10	25	1760	6	12.3155151	45.4408474						
21	Pola	1	Pola	1		3	0	0	0	0	0	0	12.0185741	44.878054						
21	Padua	2	Padua	1		3	0	0	0	0	0	0	11.8767611	45.4064349						
21	Vicenza	3	Vicenza	1		3	0	0	0	0	0	0	11.5354214	45.5454787						
21	Verona	4	Verona	1		3	0	0	0	0	0	0	10.9916215	45.4383842						
21	Ferrara	1	Ferrara	1	FALSE		0	0	0	0	0	0	11.619787	44.8381237						
21	Bologna (-22 Nov.)	2	Bologna	1	FALSE		22	1760	11	22	1760	11	11.3426163	44.494887						
21	Florence (23 Nov. 1760-20 Feb. 1761)	3	Florence	1	FALSE		20	1761	2	23	1760	11	11.2480006	43.7710332						
21	Pisa	1	Pisa	1		3	0	0	0	0	0	0	10.4016888	43.7228386						
21	Leghorn (late Dec.-early Jan.)	2	Leghorn	1		3	0	1761	1	0	1761	12	10.416111	43.520833						
21	Siena	1	Siena	1	FALSE		0	0	0	0	0	0	11.3307574	43.318809						
21	Rome (24 Feb.-Aug.)	2	Rome	1	FALSE		0	1761	8	24	1761	2	12.4801802	41.8723889						
21	Naples (Aug.-Dec.)	3	Naples	1	FALSE		0	1761	12	0	1761	8	14.2681244	40.8517746						
21	Paestum (mid-Nov.)	1	Paestum	1		3	0	1761	11	0	1761	11	15.0071628	40.4231513						
21	Rome (13 Dec. 1761-May 1763)	1	Rome	1	FALSE		0	1763	5	13	1761	12	12.4801802	41.8723889						
21	Florence	2	Florence	1	FALSE		0	0	0	0	0	0	11.2480006	43.7710332						
21	Bologna	3	Bologna	1	FALSE		0	0	0	0	0	0	11.3426163	44.494887						
21	Parma	4	Parma	1	FALSE		0	0	0	0	0	0	10.3279036	44.801485						
22	Venice (10 Sep.: 'Giovanni Adam di Andrea'; ASV IS 759)	1	Venice	1	FALSE		10	1767	9	10	1767	9	12.3155151	45.4408474	1767	1767	FALSE	1767	1767	FALSE
23	Genoa (9 Jan. 1755)	2	Genoa	1	FALSE		9	1755	1	9	1755	1	8.946256	44.4056499	1757	1757	FALSE	1755	1755	FALSE
23	Leghorn	3	Leghorn	1	FALSE		0	0	0	0	0	0	10.416111	43.520833						
23	Pisa	4	Pisa	1	FALSE		0	0	0	0	0	0	10.4016888	43.7228386						
23	Florence (30 Jan.-20 Feb.)	5	Florence	1	FALSE		20	1755	2	30	1755	1	11.2480006	43.7710332						
23	Siena	6	Siena	1	FALSE		0	0	0	0	0	0	11.3307574	43.318809						
23	Rome (24 Feb.-Apr.)	7	Rome	1	FALSE		0	1755	4	24	1755	2	12.4801802	41.8723889						
23	Naples (Apr. 1755)	8	Naples	1	FALSE		0	1755	4	0	1755	4	14.2681244	40.8517746						
23	Rome (22 Apr.-13 Sep.)	9	Rome	1	FALSE		13	1755	9	22	1755	4	12.4801802	41.8723889						
23	Caprarola	10	Caprarola	1	FALSE		0	0	0	0	0	0	12.2387494	42.3272312						
23	Narni	11	Narni	1	FALSE		0	0	0	0	0	0	12.5156299	42.5176022						
23	Terni	12	Terni	1	FALSE		0	0	0	0	0	0	12.6426604	42.5636168						
23	Spoleto	13	Spoleto	1	FALSE		0	0	0	0	0	0	12.7344664	42.7305146						
23	Rimini	14	Rimini	1	FALSE		0	0	0	0	0	0	12.5695158	44.0678288						
23	Ravenna	15	Ravenna	1	FALSE		0	0	0	0	0	0	12.2035294	44.4183598						
23	Rome (by 12 Oct. 1755-Jun. 1756)	16	Rome	1	FALSE		0	1756	6	12	1755	10	12.4801802	41.8723889						
23	Sora (Jun.)	17	Sora	1	FALSE		0	1756	6	0	1756	6	13.6130491	41.7188539						
23	Rome (Jun. 1756-May 1757)	18	Rome	1	FALSE		0	1757	5	0	1756	6	12.4801802	41.8723889						
23	Florence (May)	19	Florence	1	FALSE		0	1757	5	0	1757	5	11.2480006	43.7710332						
23	Bologna (8 days)	20	Bologna	1	FALSE		0	0	0	0	0	0	11.3426163	44.494887						
23	Padua (by 23 Jun.)	21	Padua	1	FALSE		23	1757	6	23	1757	6	11.8767611	45.4064349						
23	Venice (6-11 Jul.)	22	Venice	1	FALSE		11	1757	7	6	1757	7	12.3155151	45.4408474						
23	Venice (11 Sep.-12 Oct. 1757)	23	Venice	1	FALSE		12	1757	10	11	1757	9	12.3155151	45.4408474						
23	Vicenza	1	Vicenza	1		23	0	0	0	0	0	0	11.5354214	45.5454787						
23	Verona	2	Verona	1		23	0	0	0	0	0	0	10.9916215	45.4383842						
24	"Naples (Oct.: 'I wish you cd in turn congratulate me on the acquisition of Mr C Adams'; Attingham MSS, Ldy. Berwick, 25 Oct. 1796)"	1	Naples	1	FALSE		0	1796	10	0	1796	10	14.2681244	40.8517746	1796	1796	FALSE	1796	1796	FALSE
25	Naples	1	Naples	1	FALSE		0	0	0	0	0	0	14.2681244	40.8517746	1786	1786	FALSE	1767	1767	FALSE
26	Venice (5 Nov.-20 Dec. 1794)	2	Venice	1	FALSE		20	1794	12	5	1794	11	12.3155151	45.4408474	1795	1795	FALSE	1794	1794	FALSE
26	Padua	3	Padua	1	FALSE		0	0	0	0	0	0	11.8767611	45.4064349						
26	Venice (3-5 Jun. 1795)	4	Venice	1	FALSE		0	0	0	3	1795	6	12.3155151	45.4408474						
27	"Rome ('Adams Scozzese' with his wife,three sons, living in the Strada Paolina; AVR SA, S.Lorenzo in Lucina)"	1	Rome	1	FALSE		0	0	0	0	0	0	12.4801802	41.8723889	1716	1716	FALSE	1716	1716	FALSE
27				2											1756	1756	FALSE	1756	1756	FALSE
27	Venice (1 Jul.; ASV IS 760)	1	Venice	3	FALSE		1	1780	7	1	1780	7	12.3155151	45.4408474	1780	1780	FALSE	1780	1780	FALSE
29	Genoa (Dec. 1700)	2	Genoa	1	FALSE		0	1700	12	0	1700	12	8.946256	44.4056499	1701	1701	FALSE	1700	1700	FALSE
29	Pavia	3	Pavia	1	FALSE		0	0	0	0	0	0	9.1582069	45.1847248						
29	Milan	4	Milan	1	FALSE		0	0	0	0	0	0	9.1859243	45.4654219						
29	Padua (9 Jan. 1701)	5	Padua	1	FALSE		9	1701	1	9	1701	1	11.8767611	45.4064349						
29	Venice (Jan.)	6	Venice	1	FALSE		0	1701	1	0	1701	1	12.3155151	45.4408474						
29	Ferrara	7	Ferrara	1	FALSE		0	0	0	0	0	0	11.619787	44.8381237						
29	Ravenna	8	Ravenna	1	FALSE		0	0	0	0	0	0	12.2035294	44.4183598						
29	Rimini	9	Rimini	1	FALSE		0	0	0	0	0	0	12.5695158	44.0678288						
29	San Marino	10	San Marino	1	FALSE		0	0	0	0	0	0	10.9215205	44.8063123						
29	Loreto	11	Loreto	1	FALSE		0	0	0	0	0	0	13.6065668	43.4396423						
29	Rome	12	Rome	1	FALSE		0	0	0	0	0	0	12.4801802	41.8723889						
29	Naples	13	Naples	1	FALSE		0	0	0	0	0	0	14.2681244	40.8517746						
29	Rome (Jun.- Oct.)	14	Rome	1	FALSE		0	1701	10	0	1701	6	12.4801802	41.8723889						
29	Siena	15	Siena	1	FALSE		0	0	0	0	0	0	11.3307574	43.318809						
29	Pisa	16	Pisa	1	FALSE		0	0	0	0	0	0	10.4016888	43.7228386						
29	Lucca	17	Lucca	1	FALSE		0	0	0	0	0	0	10.4950609	43.8376211						
29	Florence (6-12 Nov.)	18	Florence	1	FALSE		12	1701	11	6	1701	11	11.2480006	43.7710332						
29	Bologna	19	Bologna	1	FALSE		0	0	0	0	0	0	11.3426163	44.494887						
29	Modena	20	Modena	1	FALSE		0	0	0	0	0	0	10.9200867	44.6488366						
29	Parma	21	Parma	1	FALSE		0	0	0	0	0	0	10.3279036	44.801485						
29	Turin	22	Turin	1	FALSE		0	0	0	0	0	0	7.6868565	45.070312						
30	Leghorn	1	Leghorn	1	FALSE		0	0	0	0	0	0	10.416111	43.520833	1773	1773	FALSE	1766	1766	FALSE
30	Pisa	2	Pisa	1	FALSE		0	0	0	0	0	0	10.4016888	43.7228386						
31	"Florence (14 Dec.: wrote to Ozias Humphry offering to take anything to England; Humphry corr.MSS, HU/2/48)"	1	Florence	1	FALSE		14	1776	12	14	1776	12	11.2480006	43.7710332	1776	1776	FALSE	1776	1776	FALSE
32	Rome (by May)	1	Rome	1	FALSE		0	1783	5	0	1783	5	12.4801802	41.8723889	1783	1783	FALSE	1783	1783	FALSE
32	Bologna (May 1788)	1	Bologna	2	FALSE		0	1788	5	0	1788	5	11.3426163	44.494887	1788	1788	FALSE	1787	1787	FALSE
33	"Florence ('Signor Nardini has a great number of young professors under his care ... among whom is a son of Mr Agus, from England'; Burney, Tour, 259)"	1	Florence	1	FALSE		0	0	0	0	0	0	11.2480006	43.7710332	1770	1770	FALSE	1770	1770	FALSE
34	Rome	1	Rome	1	FALSE		0	0	0	0	0	0	12.4801802	41.8723889	1747	1747	FALSE	1746	1746	FALSE
35	Leghorn	1	Leghorn	1	FALSE		0	0	0	0	0	0	10.416111	43.520833	1752	1752	FALSE	1709	1709	FALSE
36	Florence	2	Florence	1	FALSE		0	0	0	0	0	0	11.2480006	43.7710332	1711	1711	FALSE	1707	1707	FALSE
36	Rome	3	Rome	1	FALSE		0	0	0	0	0	0	12.4801802	41.8723889						
36	Florence (by 12 Apr.)	5	Florence	1	FALSE		12	1707	4	12	1707	4	11.2480006	43.7710332						
36	Rome (summer)	6	Rome	1	FALSE		0	0	0	0	0	0	12.4801802	41.8723889						
36	Naples (Sep. 1710)	7	Naples	1	FALSE		0	1710	9	0	1710	9	14.2681244	40.8517746						
37	Leghorn	1	Leghorn	1	FALSE		0	0	0	0	0	0	10.416111	43.520833	1770	1770	FALSE	1744	1744	FALSE
42	Rome (Nov. 1750)	1	Rome	1	FALSE		0	1750	11	0	1750	11	12.4801802	41.8723889	1750	1750	FALSE	1750	1750	FALSE
43	Rome	1	Rome	1	FALSE		0	0	0	0	0	0	12.4801802	41.8723889	1741	1741	FALSE	1740	1740	FALSE
43	Milan (Oct. 1744)	1	Milan	2	FALSE		0	1744	10	0	1744	10	9.1859243	45.4654219	1745	1745	FALSE	1744	1744	FALSE
43	Florence	2	Florence	2	FALSE		0	0	0	0	0	0	11.2480006	43.7710332						
44	"Leghorn (d. 12 Dec.; Leghorn Inscr., 27)"	1	Leghorn	1	FALSE		0	0	0	0	0	0	10.416111	43.520833	1736	1736	FALSE	1736	1736	FALSE
45	Rome (by Easter 1747-Jun. 1751)	2	Rome	1	FALSE		0	0	0	0	0	0	12.4801802	41.8723889	1752	1752	FALSE	1747	1747	FALSE
45	Leghorn (1751)	3	Leghorn	1	FALSE		0	1751	0	0	1751	0	10.416111	43.520833						
45	Bologna	4	Bologna	1	FALSE		0	0	0	0	0	0	11.3426163	44.494887						
45	Venice (by 15 Feb. 1752)	5	Venice	1	FALSE		15	1752	2	15	1752	2	12.3155151	45.4408474						
46	Padua (20 Mar.; Brown 1834)	1	Padua	1	FALSE		20	1727	3	20	1727	3	11.8767611	45.4064349	1727	1727	FALSE	1727	1727	FALSE
47	Naples (Jan. 1777)	1	Naples	1	FALSE		0	1777	1	0	1777	1	14.2681244	40.8517746	1777	1777	FALSE	1777	1777	FALSE
47	Rome	2	Rome	1	FALSE		0	0	0	0	0	0	12.4801802	41.8723889						
47	Venice (5 May-)	3	Venice	1	FALSE		5	1777	5	5	1777	5	12.3155151	45.4408474						
48	Leghorn (1711)	1	Leghorn	1	FALSE		0	1711	0	0	1711	0	10.416111	43.520833	1719	1719	FALSE	1711	1711	FALSE
48	Florence (1712)	2	Florence	1	FALSE		0	1712	0	0	1712	0	11.2480006	43.7710332						
48	Rome (by Feb. 1714-1719)	3	Rome	1	FALSE		0	1719	0	0	1714	2	12.4801802	41.8723889						
49	"Rome ('Alesandro pittore Inglese-18','Alesandro studente Inglese-19', with the artist William Hamilton at the Piazza Mignanelli; AVR SA, S.Andrea delle Fratte)"	1	Rome	1	FALSE		0	0	0	0	0	0	12.4801802	41.8723889	1767	1767	FALSE	1766	1766	FALSE
50	"Leghorn (Oct.: he brought a letter from Basil Kennett in Leghorn to London; Lansd.1041, f.31)"	1	Leghorn	1	FALSE		0	1710	10	0	1710	10	10.416111	43.520833	1710	1710	FALSE	1710	1710	FALSE
50	"Florence (on 29 Aug.: from Vienna, Sir Thomas Robinson asked Horace Mann in Florence to intervene with Count Richecourt on behalf of Alexander; SP 105/282, f.278)"	1	Florence	2	FALSE		0	0	0	0	0	0	11.2480006	43.7710332	1742	1742	FALSE	1742	1742	FALSE
50	"Venice (10 May: with 'Lince' ,,'Blece',; ASV IS 760)"	1	Venice	3	FALSE		10	1777	5	10	1777	5	12.3155151	45.4408474	1777	1777	FALSE	1777	1777	FALSE
50	Rome (winter; Quin jnl.MSS)	1	Rome	4	FALSE		0	0	0	0	0	0	12.4801802	41.8723889	1786	1786	FALSE	1785	1785	FALSE
50	"Venice (14-27 Feb.: with Gray, Plumer,,'Barch',; ASV IS 763)"	1	Venice	5	FALSE		27	1792	2	14	1792	2	12.3155151	45.4408474	1792	1792	FALSE	1792	1792	FALSE
52	Genoa (Jul.)	2	Genoa	1	FALSE		0	1767	7	0	1767	7	8.946256	44.4056499	1777	1777	FALSE	1767	1767	FALSE
52	Leghorn (23-24 Aug.)	3	Leghorn	1	FALSE		24	1767	8	23	1767	8	10.416111	43.520833						
52	Rome (Aug. 1767-76)	4	Rome	1	FALSE		0	1767	0	0	1767	8	12.4801802	41.8723889						
52	"Naples (before Mar. 1768; 1769-71,1773-5)"	1	Naples	1		4	0	0	0	0	0	0	14.2681244	40.8517746						
52	Pistoia	1	Pistoia	1	FALSE		0	0	0	0	0	0	10.9078587	43.9303475						
52	Bologna	2	Bologna	1	FALSE		0	0	0	0	0	0	11.3426163	44.494887						
52	Parma (Nov. 1776)	3	Parma	1	FALSE		0	1776	11	0	1776	11	10.3279036	44.801485						
52	Cremona	4	Cremona	1	FALSE		0	0	0	0	0	0	10.0226511	45.133249						
52	Turin	5	Turin	1	FALSE		0	0	0	0	0	0	7.6868565	45.070312						
53	"Leghorn (subscriber to Mrs Barry's Maria, a Persian Slave)"	1	Leghorn	1	FALSE		0	0	0	0	0	0	10.416111	43.520833	1790	1790	FALSE	1790	1790	FALSE
54	Turin (late 1727)	1	Turin	1	FALSE		0	1727	0	0	1727	0	7.6868565	45.070312	1741	1741	FALSE	1727	1727	FALSE
54	Rome (-Jan. 1728)	2	Rome	1	FALSE		0	1728	1	0	1728	1	12.4801802	41.8723889						
54	Turin (Feb. 1728-c.1739)	3	Turin	1	FALSE		0	1739	0	0	1728	2	7.6868565	45.070312						
54	Milan (Sep. 1729)	1	Milan	1		3	0	1729	9	0	1729	9	9.1859243	45.4654219						
55	Naples	1	Naples	1	FALSE		0	0	0	0	0	0	14.2681244	40.8517746	1748	1748	FALSE	1721	1721	FALSE
56	"Turin (secretary to the British envoy, John Molesworth; Horn, 1:123)"	1	Turin	1	FALSE		0	0	0	0	0	0	7.6868565	45.070312	1725	1725	FALSE	1720	1720	FALSE
57	Florence	1	Florence	1	FALSE		0	0	0	0	0	0	11.2480006	43.7710332	1795	1795	FALSE	1795	1795	FALSE
57	Venice (23 Jul.; ASV IS 775)	2	Venice	1	FALSE		23	1795	7	23	1795	7	12.3155151	45.4408474						
58	Leghorn (27 Jun.)	1	Leghorn	1	FALSE		27	1760	6	27	1760	6	10.416111	43.520833	1760	1760	FALSE	1760	1760	FALSE
58	Venice	2	Venice	1	FALSE		0	0	0	0	0	0	12.3155151	45.4408474						
58	Rome (by 28 Aug.-Sep.)	3	Rome	1	FALSE		0	1760	9	28	1760	8	12.4801802	41.8723889						
58	Leghorn	4	Leghorn	1	FALSE		0	0	0	0	0	0	10.416111	43.520833						
59	Padua (10 Oct.; Brown 1338)	1	Padua	1	FALSE		10	1709	10	10	1709	10	11.8767611	45.4064349	1709	1709	FALSE	1709	1709	FALSE
60	Naples	1	Naples	1	FALSE		0	0	0	0	0	0	14.2681244	40.8517746	1753	1753	FALSE	1748	1748	FALSE
60	Messina	1	Messina	2	FALSE		0	0	0	0	0	0	15.5540152	38.1938137	1764	1764	FALSE	1764	1764	FALSE
61	Naples (6 Nov.: 'Mr Mackinnon Our Banker ... had been Acquainted with Our Friends Mrs Allen & Miss Palmer when They were at Naples'; Bentham jnl.MSS)	1	Naples	1	FALSE		6	1793	11	6	1793	11	14.2681244	40.8517746	1793	1793	FALSE	1793	1793	FALSE
62	"Venice (9 Jan.: came for the Carnival; SP 99/59, f.8)"	1	Venice	1	FALSE		9	1711	1	9	1711	1	12.3155151	45.4408474	1711	1711	FALSE	1711	1711	FALSE
62	Padua (21 Sep.: living for some time in Padua; Waters jnl.MSS)	1	Padua	2	FALSE		21	1711	9	21	1711	9	11.8767611	45.4064349	1711	1711	FALSE	1711	1711	FALSE
62	"Naples ('Mr Alen','Mr Skiner' from Naples were paid for the Duke of , music; Coke accts. MSS, 4 May 1717)"	1	Naples	3	FALSE		0	0	0	0	0	0	14.2681244	40.8517746	1717	1717	FALSE	1717	1717	FALSE
62	Rome	1	Rome	4	FALSE		0	0	0	0	0	0	12.4801802	41.8723889	1730	1730	FALSE	1728	1728	FALSE
63	Rome (Feb.-Sep.)	1	Rome	1	FALSE		0	1738	9	0	1738	2	12.4801802	41.8723889	1738	1738	FALSE	1738	1738	FALSE
63	Padua (1 Oct.)	2	Padua	1	FALSE		1	1738	10	1	1738	10	11.8767611	45.4064349						
63	Turin (by 13-15 Oct.)	3	Turin	1	FALSE		15	1738	10	13	1738	10	7.6868565	45.070312						
64	Bologna (-12 Jun. 1722)	1	Bologna	1	FALSE		12	1722	6	12	1722	6	11.3426163	44.494887	1723	1723	FALSE	1722	1722	FALSE
64	Rome (Jun. 1722-7 Feb. 1723)	2	Rome	1	FALSE		7	1723	2	0	1722	6	12.4801802	41.8723889						
64	Bologna	3	Bologna	1	FALSE		0	0	0	0	0	0	11.3426163	44.494887						
64	Venice	4	Venice	1	FALSE		0	0	0	0	0	0	12.3155151	45.4408474						
65	Florence	1	Florence	1	FALSE		0	0	0	0	0	0	11.2480006	43.7710332	1794	1794	FALSE	1794	1794	FALSE
65	"Bassano ('Gio Batta Alonze' with 'L. Anbeut',; ASV IS 771)"	2	Bassano	1	FALSE		0	0	0	0	0	0	11.7272747	45.7657286						
66	Padua (Feb.-Mar. 1731)	1	Padua	1	FALSE		0	1731	3	0	1731	2	11.8767611	45.4064349	1733	1733	FALSE	1731	1731	FALSE
66	Venice (Apr.)	2	Venice	1	FALSE		0	1731	4	0	1731	4	12.3155151	45.4408474						
66	Rome (by 1 May 1731-Nov. 1732)	3	Rome	1	FALSE		0	1732	11	1	1731	5	12.4801802	41.8723889						
66	Padua (Jan. 1733)	4	Padua	1	FALSE		0	1733	1	0	1733	1	11.8767611	45.4064349						
66	Venice (-Feb.)	5	Venice	1	FALSE		0	1733	2	0	1733	2	12.3155151	45.4408474						
67	"Leghorn (Dec.: d., 'a north Briton' whose 'brother,heir resides at Yarmouth'; SP 98/23)"	1	Leghorn	1	FALSE		0	1719	12	0	1719	12	10.416111	43.520833	1719	1719	FALSE	1719	1719	FALSE
68	Turin/Milan (Apr. 1701)	1	Turin/Milan	1	FALSE		0	1701	4	0	1701	4	9.1859243	45.4654219	1702	1702	FALSE	1701	1701	FALSE
68	Padua	2	Padua	1	FALSE		0	0	0	0	0	0	11.8767611	45.4064349						
68	Rome (Aug.)	3	Rome	1	FALSE		0	1701	8	0	1701	8	12.4801802	41.8723889						
68	Rome (by 21 Nov.-Dec. 1701)	4	Rome	1	FALSE		0	1701	12	21	1701	11	12.4801802	41.8723889						
68	Florence (Mar. 1702)	1	Florence	1	FALSE		0	1702	3	0	1702	3	11.2480006	43.7710332						
68	Padua (15 Apr. 1702)	2	Padua	1	FALSE		15	1702	4	15	1702	4	11.8767611	45.4064349						
70	Rome (by Mar. 1762-Easter 1771)	1	Rome	1	FALSE		0	1771	1	0	1762	3	12.4801802	41.8723889	1771	1771	FALSE	1762	1762	FALSE
71	Venice (13-29 May; ASV IS 758)	1	Venice	1	FALSE		29	1763	5	13	1763	5	12.3155151	45.4408474	1763	1763	FALSE	1763	1763	FALSE
72	Verona (11 Sep. 1794)	1	Verona	1	FALSE		11	1794	9	11	1794	9	10.9916215	45.4383842	1796	1796	FALSE	1794	1794	FALSE
72	Padua (15 Sep.)	2	Padua	1	FALSE		15	1794	9	15	1794	9	11.8767611	45.4064349						
72	Venice (19-27 Sep.)	3	Venice	1	FALSE		27	1794	9	19	1794	9	12.3155151	45.4408474						
72	Florence (Oct.)	4	Florence	1	FALSE		0	1794	10	0	1794	10	11.2480006	43.7710332						
72	Rome (Oct. 1794-May 1795)	5	Rome	1	FALSE		0	1795	5	0	1794	10	12.4801802	41.8723889						
72	Lucca (Jun.-Jul.)	6	Lucca	1	FALSE		0	1795	7	0	1795	6	10.4950609	43.8376211						
72	Bologna	7	Bologna	1	FALSE		0	0	0	0	0	0	11.3426163	44.494887						
72	Florence	8	Florence	1	FALSE		0	0	0	0	0	0	11.2480006	43.7710332						
72	Rome (Aug. 1795-Feb. 1796)	9	Rome	1	FALSE		0	1796	2	0	1795	8	12.4801802	41.8723889						
